Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admitted
1,337,118,4,4.5,4.5,9.65,1,1
2,324,107,4,4,4.5,8.87,1,1
3,316,104,3,3,3.5,8,1,1
4,322,110,3,3.5,2.5,8.67,1,1
5,314,103,2,2,3,8.21,0,1
6,330,115,5,4.5,3,9.34,1,1
7,321,109,3,3,4,8.2,1,1
8,308,101,2,3,4,7.9,0,1
9,302,102,1,2,1.5,8,0,0
10,323,108,3,3.5,3,8.6,0,0
11,325,106,3,3.5,4,8.4,1,0
12,327,111,4,4,4.5,9,1,1
13,328,112,4,4,4.5,9.1,1,1
14,307,109,3,4,3,8,1,0
15,311,104,3,3.5,2,8.2,1,0
16,314,105,3,3.5,2.5,8.3,0,0
17,317,107,3,4,3,8.7,0,1
18,319,106,3,4,3,8,1,1
19,318,110,3,4,3,8.8,0,0
20,303,102,3,3.5,3,8.5,0,0
21,312,107,3,3,2,7.9,1,0
22,325,114,4,3,2,8.4,0,1
23,328,116,5,5,5,9.5,1,1
24,334,119,5,5,4.5,9.7,1,1
25,336,119,5,4,3.5,9.8,1,1
26,340,120,5,4.5,4.5,9.6,1,1
27,322,109,5,4.5,3.5,8.8,0,1
28,298,98,2,1.5,2.5,7.5,1,0
29,295,93,1,2,2,7.2,0,0
30,310,99,2,1.5,2,7.3,0,0
31,300,97,2,3,3,8.1,1,1
32,327,103,3,4,4,8.3,1,1
33,338,118,4,3,4.5,9.4,1,1
34,340,114,5,4,4,9.6,1,1
35,331,112,5,4,5,9.8,1,1
36,320,110,5,5,5,9.2,1,1
37,299,106,2,4,4,8.4,0,0
38,300,105,1,1,2,7.8,0,0
39,304,105,1,3,1.5,7.5,0,0
40,307,108,2,4,3.5,7.7,0,0
41,308,110,3,3.5,3,8,1,0
42,316,105,2,2.5,2.5,8.2,1,0
43,313,107,2,2.5,2,8.5,1,0
44,332,117,4,4.5,4,9.1,0,1
45,326,113,5,4.5,4,9.4,1,1
46,322,110,5,5,4,9.1,1,1
47,329,114,5,4,5,9.3,1,1
48,339,119,5,4.5,4,9.7,0,1
49,321,110,3,3.5,5,8.85,1,1
50,327,111,4,3,4,8.4,1,1
51,313,98,3,2.5,4.5,8.3,1,1
52,312,100,2,1.5,3.5,7.9,1,0
53,334,116,4,4,3,8,1,1
54,324,112,4,4,2.5,8.1,1,1
55,322,110,3,3,3.5,8,0,1
56,320,103,3,3,3,7.7,0,0
57,316,102,3,2,3,7.4,0,0
58,298,99,2,4,2,7.6,0,0
59,300,99,1,3,2,6.8,1,0
60,311,104,2,2,2,8.3,0,0
61,309,100,2,3,3,8.1,0,0
62,307,101,3,4,3,8.2,0,0
63,304,105,2,3,3,8.2,1,0
64,315,107,2,4,3,8.5,1,0
65,325,111,3,3,3.5,8.7,0,0
66,325,112,4,3.5,3.5,8.92,0,0
67,327,114,3,3,3,9.02,0,0
68,316,107,2,3.5,3.5,8.64,1,0
69,318,109,3,3.5,4,9.22,1,1
70,328,115,4,4.5,4,9.16,1,1
71,332,118,5,5,5,9.64,1,1
72,336,112,5,5,5,9.76,1,1
73,321,111,5,5,5,9.45,1,1
74,314,108,4,4.5,4,9.04,1,1
75,314,106,3,3,5,8.9,0,1
76,329,114,2,2,4,8.56,1,1
77,327,112,3,3,3,8.72,1,1
78,301,99,2,3,2,8.22,0,0
79,296,95,2,3,2,7.54,1,0
80,294,93,1,1.5,2,7.36,0,0
81,312,105,3,2,3,8.02,1,0
82,340,120,4,5,5,9.5,1,1
83,320,110,5,5,4.5,9.22,1,1
84,322,115,5,4,4.5,9.36,1,1
85,340,115,5,4.5,4.5,9.45,1,1
86,319,103,4,4.5,3.5,8.66,0,1
87,315,106,3,4.5,3.5,8.42,0,1
88,317,107,2,3.5,3,8.28,0,1
89,314,108,3,4.5,3.5,8.14,0,0
90,316,109,4,4.5,3.5,8.76,1,1
91,318,106,2,4,4,7.92,1,0
92,299,97,3,5,3.5,7.66,0,0
93,298,98,2,4,3,8.03,0,0
94,301,97,2,3,3,7.88,1,0
95,303,99,3,2,2.5,7.66,0,0
96,304,100,4,1.5,2.5,7.84,0,0
97,306,100,2,3,3,8,0,0
98,331,120,3,4,4,8.96,1,1
99,332,119,4,5,4.5,9.24,1,1
100,323,113,3,4,4,8.88,1,1
101,322,107,3,3.5,3.5,8.46,1,1
102,312,105,2,2.5,3,8.12,0,0
103,314,106,2,4,3.5,8.25,0,0
104,317,104,2,4.5,4,8.47,0,0
105,326,112,3,3.5,3,9.05,1,1
106,316,110,3,4,4.5,8.78,1,1
107,329,111,4,4.5,4.5,9.18,1,1
108,338,117,4,3.5,4.5,9.46,1,1
109,331,116,5,5,5,9.38,1,1
110,304,103,5,5,4,8.64,0,1
111,305,108,5,3,3,8.48,0,0
112,321,109,4,4,4,8.68,1,1
113,301,107,3,3.5,3.5,8.34,1,0
114,320,110,2,4,3.5,8.56,0,1
115,311,105,3,3.5,3,8.45,1,0
116,310,106,4,4.5,4.5,9.04,1,1
117,299,102,3,4,3.5,8.62,0,0
118,290,104,4,2,2.5,7.46,0,0
119,296,99,2,3,3.5,7.28,0,0
120,327,104,5,3,3.5,8.84,1,1
121,335,117,5,5,5,9.56,1,1
122,334,119,5,4.5,4.5,9.48,1,1
123,310,106,4,1.5,2.5,8.36,0,0
124,308,108,3,3.5,3.5,8.22,0,0
125,301,106,4,2.5,3,8.47,0,0
126,300,100,3,2,3,8.66,1,0
127,323,113,3,4,3,9.32,1,1
128,319,112,3,2.5,2,8.71,1,1
129,326,112,3,3.5,3,9.1,1,1
130,333,118,5,5,5,9.35,1,1
131,339,114,5,4,4.5,9.76,1,1
132,303,105,5,5,4.5,8.65,0,1
133,309,105,5,3.5,3.5,8.56,0,1
134,323,112,5,4,4.5,8.78,0,1
135,333,113,5,4,4,9.28,1,1
136,314,109,4,3.5,4,8.77,1,1
137,312,103,3,5,4,8.45,0,1
138,316,100,2,1.5,3,8.16,1,1
139,326,116,2,4.5,3,9.08,1,1
140,318,109,1,3.5,3.5,9.12,0,1
141,329,110,2,4,3,9.15,1,1
142,332,118,2,4.5,3.5,9.36,1,1
143,331,115,5,4,3.5,9.44,1,1
144,340,120,4,4.5,4,9.92,1,1
145,325,112,2,3,3.5,8.96,1,1
146,320,113,2,2,2.5,8.64,1,1
147,315,105,3,2,2.5,8.48,0,1
148,326,114,3,3,3,9.11,1,1
149,339,116,4,4,3.5,9.8,1,1
150,311,106,2,3.5,3,8.26,1,1
151,334,114,4,4,4,9.43,1,1
152,332,116,5,5,5,9.28,1,1
153,321,112,5,5,5,9.06,1,1
154,324,105,3,3,4,8.75,0,1
155,326,108,3,3,3.5,8.89,0,1
156,312,109,3,3,3,8.69,0,1
157,315,105,3,2,2.5,8.34,0,1
158,309,104,2,2,2.5,8.26,0,1
159,306,106,2,2,2.5,8.14,0,0
160,297,100,1,1.5,2,7.9,0,0
161,315,103,1,1.5,2,7.86,0,0
162,298,99,1,1.5,3,7.46,0,0
163,318,109,3,3,3,8.5,0,1
164,317,105,3,3.5,3,8.56,0,1
165,329,111,4,4.5,4,9.01,1,1
166,322,110,5,4.5,4,8.97,0,1
167,302,102,3,3.5,5,8.33,0,1
168,313,102,3,2,3,8.27,0,0
169,293,97,2,2,4,7.8,1,0
170,311,99,2,2.5,3,7.98,0,1
171,312,101,2,2.5,3.5,8.04,1,1
172,334,117,5,4,4.5,9.07,1,1
173,322,110,4,4,5,9.13,1,1
174,323,113,4,4,4.5,9.23,1,1
175,321,111,4,4,4,8.97,1,1
176,320,111,4,4.5,3.5,8.87,1,1
177,329,119,4,4.5,4.5,9.16,1,1
178,319,110,3,3.5,3.5,9.04,0,1
179,309,108,3,2.5,3,8.12,0,1
180,307,102,3,3,3,8.27,0,1
181,300,104,3,3.5,3,8.16,0,1
182,305,107,2,2.5,2.5,8.42,0,1
183,299,100,2,3,3.5,7.88,0,1
184,314,110,3,4,4,8.8,0,1
185,316,106,2,2.5,4,8.32,0,1
186,327,113,4,4.5,4.5,9.11,1,1
187,317,107,3,3.5,3,8.68,1,1
188,335,118,5,4.5,3.5,9.44,1,1
189,331,115,5,4.5,3.5,9.36,1,1
190,324,112,5,5,5,9.08,1,1
191,324,111,5,4.5,4,9.16,1,1
192,323,110,5,4,5,8.98,1,1
193,322,114,5,4.5,4,8.94,1,1
194,336,118,5,4.5,5,9.53,1,1
195,316,109,3,3.5,3,8.76,0,1
196,307,107,2,3,3.5,8.52,1,1
197,306,105,2,3,2.5,8.26,0,1
198,310,106,2,3.5,2.5,8.33,0,1
199,311,104,3,4.5,4.5,8.43,0,1
200,313,107,3,4,4.5,8.69,0,1
201,317,103,3,2.5,3,8.54,1,1
202,315,110,2,3.5,3,8.46,1,1
203,340,120,5,4.5,4.5,9.91,1,1
204,334,120,5,4,5,9.87,1,1
205,298,105,3,3.5,4,8.54,0,1
206,295,99,2,2.5,3,7.65,0,0
207,315,99,2,3.5,3,7.89,0,0
208,310,102,3,3.5,4,8.02,1,1
209,305,106,2,3,3,8.16,0,0
210,301,104,3,3.5,4,8.12,1,1
211,325,108,4,4.5,4,9.06,1,1
212,328,110,4,5,4,9.14,1,1
213,338,120,4,5,5,9.66,1,1
214,333,119,5,5,4.5,9.78,1,1
215,331,117,4,4.5,5,9.42,1,1
216,330,116,5,5,4.5,9.36,1,1
217,322,112,4,4.5,4.5,9.26,1,1
218,321,109,4,4,4,9.13,1,1
219,324,110,4,3,3.5,8.97,1,1
220,312,104,3,3.5,3.5,8.42,0,1
