"","Position","correct","randomiser.6l9g","Trial.Number","out_degree","in_degree","total_degree","Length","Log_Freq_HAL","Ortho_N","Phono_N","Concreteness_Rating","Age_Of_Acquisition","Female"
"1",5,0,"List1",119,11,2,13,4,9.633,5,13,4.36,7.56,0
"2",2,1,"List2",2,14,3,17,5,7.509,5,13,4.68,6.776,0
"3",2,0,"List2",26,9,19,28,4,6.741,3,15,3.43,5.79,0
"4",6,0,"List2",102,18,12,30,5,7.993,2,16,3.97,6.11,1
"5",6,1,"List2",120,15,21,36,5,8.926,9,16,4.56,7.06,0
"6",1,1,"List2",79,22,11,33,5,8.571,1,15,4.72,6.42,1
"7",2,1,"List2",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8",6,0,"List2",24,13,4,17,3,9.216,3,14,4.64,7.52,1
"9",1,1,"List2",67,13,2,15,3,8.758,18,27,4.11,3.15,0
"10",4,0,"List2",88,10,10,20,4,8.825,12,16,3.4,10.24,1
"11",2,1,"List1",62,13,11,24,3,8.813,16,20,3.92,8.22,1
"12",3,0,"List2",21,9,4,13,6,7.564,3,3,4.46,10.21,0
"13",4,1,"List2",82,14,10,24,4,8.362,8,11,4,4.83,0
"14",3,0,"List1",39,16,4,20,5,8.404,4,15,4.42,7.16,0
"15",2,0,"List2",68,14,2,16,7,6.974,3,5,3.74,7.94,1
"16",5,0,"List1",83,12,43,55,5,8.321,1,8,4.89,6.53,1
"17",3,1,"List1",111,9,37,46,5,10.106,8,13,5,4.42,1
"18",5,0,"List1",5,11,14,26,4,10.8,9,1,1.87,8.39,1
"19",6,0,"List2",66,22,5,27,4,7.594,6,11,2.43,5.5,0
"20",1,1,"List2",97,8,3,11,4,8.22,13,17,4.9,8.31,1
"21",5,0,"List2",89,10,7,17,4,7.35,6,5,4.43,6.95,1
"22",3,1,"List2",45,14,34,48,5,9.76,5,15,2.5,5.47,0
"23",3,0,"List1",33,12,17,29,4,10.8,8,8,2.15,4.22,0
"24",3,1,"List1",81,13,8,21,4,7.337,15,36,4.41,7.33,0
"25",6,0,"List2",18,18,15,33,5,9.311,5,11,4.46,5.61,0
"26",5,0,"List1",77,8,2,10,5,6.389,7,4,5,7.84,1
"27",5,0,"List2",65,14,3,17,5,7.509,5,13,4.68,6.776,1
"28",1,0,"List2",91,14,2,16,7,6.974,3,5,3.74,7.94,1
"29",6,0,"List2",108,12,9,21,5,7.396,1,26,3.29,5.47,0
"30",3,0,"List1",111,18,14,32,3,9.062,18,23,4.29,7.05,0
"31",6,0,"List2",72,9,2,11,4,8.535,12,8,3.85,10.1,0
"32",4,1,"List2",4,10,3,13,4,8.331,8,12,3.46,11.05,1
"33",5,0,"List1",113,15,2,17,7,5.948,0,3,3.77,8.17,0
"34",3,1,"List2",105,12,1,13,5,7.65,2,10,4.41,9.42,0
"35",3,1,"List2",15,14,30,44,3,9.767,18,35,1.85,6.74,0
"36",5,0,"List2",95,7,9,16,5,6.061,3,8,2.55,9.64,0
"37",4,1,"List2",28,18,11,29,5,7.482,5,18,4.59,5.24,1
"38",3,1,"List1",39,11,4,15,4,6.727,4,15,4.61,8.44,1
"39",5,0,"List1",95,14,46,60,3,8.322,9,32,2.52,5.32,0
"40",1,1,"List2",91,9,2,11,4,6.69,5,6,4.39,9.82,1
"41",1,1,"List2",97,12,6,18,5,7.363,3,10,4.72,11.05,0
"42",4,1,"List2",46,10,8,18,4,8.498,11,25,4.13,4.95,0
"43",4,1,"List2",40,14,3,17,5,7.509,5,13,4.68,6.776,0
"44",6,0,"List2",108,14,3,17,4,8.345,12,17,2.89,5.74,1
"45",3,1,"List2",111,10,8,18,4,8.498,11,25,4.13,4.95,0
"46",1,1,"List2",67,12,34,46,5,8.722,4,20,2.23,5.11,1
"47",6,0,"List2",96,10,6,16,4,8.187,6,10,2.79,11.39,0
"48",2,0,"List1",38,12,9,21,6,8.094,0,8,4.59,8.3,0
"49",3,1,"List2",69,13,8,21,4,9.769,11,12,4.8,7.17,0
"50",4,1,"List2",82,14,10,24,4,8.362,8,11,4,4.83,0
"51",2,1,"List1",38,13,2,15,5,7.264,3,8,3.93,7.72,0
"52",6,1,"List2",60,11,17,28,4,7.65,3,4,2.85,8,1
"53",2,1,"List2",8,11,11,22,4,8.371,15,34,3.03,7.47,0
"54",4,0,"List1",28,13,48,61,4,9.813,4,27,4.97,6.67,0
"55",6,0,"List2",12,14,34,48,5,9.76,5,15,2.5,5.47,0
"56",6,0,"List1",18,15,9,24,5,7.302,4,15,4.4,8.5,0
"57",5,0,"List1",95,14,8,22,5,9.686,1,3,3.75,7.65,1
"58",1,1,"List1",115,14,18,32,5,7.529,6,19,4.9,5.53,0
"59",5,1,"List2",41,13,2,15,4,7.567,4,33,4.41,7.52,0
"60",2,1,"List2",116,12,4,16,4,6.642,7,11,4.36,6.11,1
"61",6,0,"List2",6,18,15,33,5,9.311,5,11,4.46,5.61,0
"62",2,1,"List2",68,12,17,29,3,8.83,14,27,4.21,6.17,0
"63",3,1,"List2",57,14,8,22,4,7.705,13,31,4.84,5.83,0
"64",5,0,"List1",35,12,5,17,3,8.966,4,3,4.14,9.419,0
"65",3,1,"List2",111,10,8,18,5,8.921,7,13,4,6.94,0
"66",4,0,"List1",22,15,12,27,4,6.98,15,23,3.96,7.35,0
"67",2,1,"List2",98,10,2,12,5,8.053,2,8,1.86,9,0
"68",4,1,"List2",10,10,20,30,4,8.747,13,22,3.13,8.79,1
"69",6,0,"List1",114,15,26,41,4,9.422,9,7,4.96,4.8,1
"70",5,0,"List1",47,9,37,46,5,10.106,8,13,5,4.42,0
"71",6,0,"List2",6,10,8,18,5,8.921,7,13,4,6.94,0
"72",4,0,"List1",94,13,8,21,4,7.337,15,36,4.41,7.33,1
"73",4,1,"List1",28,11,4,15,4,8.079,5,24,3.83,5.55,0
"74",6,0,"List2",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"75",1,0,"List2",55,9,2,11,5,6.837,3,8,2.47,8.8,1
"76",2,1,"List1",62,11,1,12,5,6.763,3,3,4.78,7.58,0
"77",5,0,"List1",89,11,22,33,4,9.96,9,1,1.87,7.95,0
"78",5,0,"List2",89,20,28,48,5,10.055,9,8,3.38,5.83,1
"79",4,0,"List2",40,13,4,17,6,7.863,1,2,2.61,7.17,0
"80",2,1,"List1",104,13,7,20,4,8.039,14,16,4.72,4.67,1
"81",6,0,"List2",12,15,53,68,4,9.211,9,13,3.83,6.16,0
"82",1,1,"List2",43,13,14,27,5,8.828,4,4,4.7,6.33,1
"83",6,1,"List2",18,16,9,25,4,8.642,14,30,4.56,5.79,1
"84",2,1,"List2",44,10,12,22,5,8.408,4,6,4.14,8.17,0
"85",4,0,"List1",40,11,58,69,5,9.72,4,6,4.96,4,0
"86",2,1,"List1",74,11,4,15,4,8.079,5,24,3.83,5.55,0
"87",4,1,"List1",28,6,32,38,4,8.443,15,24,2.37,8.05,0
"88",5,0,"List2",89,14,8,22,4,7.705,13,31,4.84,5.83,0
"89",6,0,"List2",54,12,9,21,5,7.396,1,26,3.29,5.47,0
"90",5,0,"List2",11,7,2,9,4,6.346,16,31,3.37,8.95,0
"91",1,1,"List1",73,7,1,8,5,6.232,5,14,2.65,9.25,0
"92",2,1,"List2",38,7,2,9,4,6.346,16,31,3.37,8.95,1
"93",2,0,"List1",86,15,12,27,4,6.98,15,23,3.96,7.35,0
"94",4,1,"List1",64,6,8,14,6,6.887,1,2,3.85,9.17,1
"95",2,1,"List1",20,8,30,38,3,11.851,5,7,4.37,5.37,0
"96",2,1,"List1",44,17,4,21,5,7.026,3,14,4.2,9.89,0
"97",3,1,"List2",93,9,2,11,4,6.69,5,6,4.39,9.82,1
"98",1,1,"List1",55,18,21,39,4,10.34,8,22,2.54,6.33,1
"99",2,1,"List1",32,12,10,22,4,9.414,6,24,3.5,7.32,0
"100",5,1,"List1",11,11,22,33,4,9.96,9,1,1.87,7.95,1
"101",4,1,"List2",118,10,12,22,5,8.408,4,6,4.14,8.17,0
"102",4,1,"List1",64,9,10,19,4,8.259,8,7,4.7,7.39,1
"103",1,0,"List1",55,16,20,36,5,9.474,3,17,4.93,5.05,1
"104",2,1,"List1",68,12,3,15,5,7.74,1,9,4.34,8.35,0
"105",1,1,"List2",55,14,3,17,4,7.567,6,33,3.81,7.58,0
"106",4,1,"List1",28,16,3,19,4,7.591,13,28,3.86,9.72,0
"107",6,0,"List1",6,12,36,48,6,10.314,5,15,3.9,7.47,0
"108",6,0,"List1",90,13,17,30,5,8.365,9,9,2.96,4.22,0
"109",1,1,"List2",109,11,11,22,5,7.479,1,3,2.82,6.3,0
"110",4,0,"List1",88,8,13,21,3,8.078,5,10,4.88,7.68,0
"111",4,1,"List2",82,9,2,11,4,6.69,5,6,4.39,9.82,0
"112",4,0,"List1",40,11,25,36,5,9.821,4,10,4.87,7.68,1
"113",4,0,"List2",40,14,3,17,4,8.345,12,17,2.89,5.74,0
"114",5,0,"List2",107,10,3,13,4,8.331,8,12,3.46,11.05,0
"115",2,1,"List2",8,9,15,24,5,8.27,1,10,2.7,8.39,0
"116",2,1,"List2",86,14,18,32,4,10.218,12,31,4.34,5.94,0
