"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.811,0.512,2,-6.38,1,0.173,0.216,0.0266,0.077,0.336,92.025,"5EBtY2shIV1vmY4bnvvV6T","https://api.spotify.com/v1/audio-analysis/5EBtY2shIV1vmY4bnvvV6T",4,1,161188,FALSE,"https://api.spotify.com/v1/tracks/5EBtY2shIV1vmY4bnvvV6T",FALSE,"Boyfriend",NA,1,"track","spotify:track:5EBtY2shIV1vmY4bnvvV6T","https://open.spotify.com/track/5EBtY2shIV1vmY4bnvvV6T","Rare (Deluxe)","D","major","D major"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,"3RKywhObU25JLEypRY6HWx","https://api.spotify.com/v1/audio-analysis/3RKywhObU25JLEypRY6HWx",4,1,206458,FALSE,"https://api.spotify.com/v1/tracks/3RKywhObU25JLEypRY6HWx",FALSE,"Lose You To Love Me",NA,2,"track","spotify:track:3RKywhObU25JLEypRY6HWx","https://open.spotify.com/track/3RKywhObU25JLEypRY6HWx","Rare (Deluxe)","E","major","E major"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,"33iba4j2ywXqTQNEpGbfra","https://api.spotify.com/v1/audio-analysis/33iba4j2ywXqTQNEpGbfra",4,1,220589,FALSE,"https://api.spotify.com/v1/tracks/33iba4j2ywXqTQNEpGbfra",FALSE,"Rare",NA,3,"track","spotify:track:33iba4j2ywXqTQNEpGbfra","https://open.spotify.com/track/33iba4j2ywXqTQNEpGbfra","Rare (Deluxe)","F","major","F major"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.841,0.479,0,-5.837,0,0.0376,0.207,1.16e-05,0.122,0.454,112.968,"3ZCBSFcZSRM9Z48ew28Zrf","https://api.spotify.com/v1/audio-analysis/3ZCBSFcZSRM9Z48ew28Zrf",4,1,161605,FALSE,"https://api.spotify.com/v1/tracks/3ZCBSFcZSRM9Z48ew28Zrf",FALSE,"Souvenir",NA,4,"track","spotify:track:3ZCBSFcZSRM9Z48ew28Zrf","https://open.spotify.com/track/3ZCBSFcZSRM9Z48ew28Zrf","Rare (Deluxe)","C","minor","C minor"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.753,0.564,10,-7.908,0,0.252,0.114,0.0273,0.359,0.55,77.342,"4sUWh0WAFyla5vjEYRrIGz","https://api.spotify.com/v1/audio-analysis/4sUWh0WAFyla5vjEYRrIGz",5,1,162595,FALSE,"https://api.spotify.com/v1/tracks/4sUWh0WAFyla5vjEYRrIGz",FALSE,"Look At Her Now",NA,5,"track","spotify:track:4sUWh0WAFyla5vjEYRrIGz","https://open.spotify.com/track/4sUWh0WAFyla5vjEYRrIGz","Rare (Deluxe)","A#","minor","A# minor"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.783,0.695,2,-6.686,0,0.0481,0.277,1.6e-05,0.0672,0.723,101.969,"1z1ztKUrDr09ZSMDnN3QIG","https://api.spotify.com/v1/audio-analysis/1z1ztKUrDr09ZSMDnN3QIG",4,1,172999,FALSE,"https://api.spotify.com/v1/tracks/1z1ztKUrDr09ZSMDnN3QIG",FALSE,"She",NA,6,"track","spotify:track:1z1ztKUrDr09ZSMDnN3QIG","https://open.spotify.com/track/1z1ztKUrDr09ZSMDnN3QIG","Rare (Deluxe)","D","minor","D minor"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.724,0.415,7,-8.408,0,0.0518,0.764,2.51e-06,0.103,0.328,89.999,"6VKmaZrS8jnbfWXEk3aiUw","https://api.spotify.com/v1/audio-analysis/6VKmaZrS8jnbfWXEk3aiUw",4,1,186459,FALSE,"https://api.spotify.com/v1/tracks/6VKmaZrS8jnbfWXEk3aiUw",FALSE,"Crowded Room (feat. 6LACK)",NA,7,"track","spotify:track:6VKmaZrS8jnbfWXEk3aiUw","https://open.spotify.com/track/6VKmaZrS8jnbfWXEk3aiUw","Rare (Deluxe)","G","minor","G minor"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.695,0.573,10,-8.882,1,0.167,0.132,0.000137,0.156,0.38,100.031,"2zxSwkWX6VX72dzT7EVa9s","https://api.spotify.com/v1/audio-analysis/2zxSwkWX6VX72dzT7EVa9s",4,1,192172,FALSE,"https://api.spotify.com/v1/tracks/2zxSwkWX6VX72dzT7EVa9s",FALSE,"Vulnerable",NA,8,"track","spotify:track:2zxSwkWX6VX72dzT7EVa9s","https://open.spotify.com/track/2zxSwkWX6VX72dzT7EVa9s","Rare (Deluxe)","A#","major","A# major"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.784,0.552,1,-7.261,0,0.0871,0.0447,0,0.192,0.465,111.984,"5tJVdHErWeof8gCXJCtDDk","https://api.spotify.com/v1/audio-analysis/5tJVdHErWeof8gCXJCtDDk",4,1,170498,FALSE,"https://api.spotify.com/v1/tracks/5tJVdHErWeof8gCXJCtDDk",FALSE,"Dance Again",NA,9,"track","spotify:track:5tJVdHErWeof8gCXJCtDDk","https://open.spotify.com/track/5tJVdHErWeof8gCXJCtDDk","Rare (Deluxe)","C#","minor","C# minor"
"Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","5obQ9rPASQW2mLxYM8Ko6Z","album","2020-04-09",2020,"day",0.873,0.51,3,-5.35,0,0.0661,0.565,3.13e-06,0.0738,0.871,110.953,"36Hgj5atzs02g05HAYCg1m","https://api.spotify.com/v1/audio-analysis/36Hgj5atzs02g05HAYCg1m",4,1,148776,FALSE,"https://api.spotify.com/v1/tracks/36Hgj5atzs02g05HAYCg1m",FALSE,"Ring",NA,10,"track","spotify:track:36Hgj5atzs02g05HAYCg1m","https://open.spotify.com/track/36Hgj5atzs02g05HAYCg1m","Rare (Deluxe)","D#","minor","D# minor"
