"","artist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","duration_ms","track_name"
"1","Jonas Brothers",0.594,0.464,0,-7.898,1,0.034,0.306,0,0.187,0.545,193866,"Please Be Mine"
"2","Jonas Brothers",0.582,0.697,7,-3.842,1,0.0695,0.000745,0,0.185,0.701,153346,"S.O.S."
"3","Jonas Brothers",0.442,0.961,1,-2.914,1,0.0928,3.51e-05,3.59e-05,0.0619,0.405,168480,"Mandy"
"4","Jonas Brothers",0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,201960,"Year 3000"
"5","Jonas Brothers",0.468,0.893,11,-3.554,1,0.13,0.00389,0,0.367,0.81,164973,"Hold On"
"6","Jonas Brothers",0.614,0.494,4,-6.17,1,0.0536,0.132,0,0.197,0.532,220693,"Lovebug"
"7","Jonas Brothers",0.661,0.949,2,-3.378,1,0.0802,0.0299,0,0.345,0.837,175093,"Burnin' Up"
"8","Jonas Brothers",0.369,0.964,6,-2.827,1,0.143,0.00692,0,0.322,0.549,130053,"I Am What I Am"
"9","Jonas Brothers",0.588,0.792,7,-3.786,1,0.0419,0.0014,2.18e-06,0.0689,0.878,186480,"6 Minutes"
"10","Jonas Brothers",0.627,0.928,0,-3.232,1,0.0693,0.0511,0,0.163,0.584,151000,"Goodnight and Goodbye"
"11","Jonas Brothers",0.315,0.278,2,-9.325,1,0.0287,0.678,0,0.087,0.454,192520,"Jersey"
"12","Jonas Brothers",0.501,0.941,4,-4.257,0,0.13,0.00297,0,0.147,0.71,173906,"Video Girl"
"13","Jonas Brothers",0.855,0.485,0,-6.266,1,0.0286,0.0801,0.000571,0.0978,0.843,214640,"Rose Garden"
"14","Jonas Brothers",0.692,0.863,5,-5.752,0,0.0358,0.00291,0,0.158,0.652,207440,"Just In Love"
"15","Jonas Brothers",0.769,0.75,4,-5.453,0,0.0523,0.172,0,0.0377,0.87,219146,"Cake By The Ocean"
"16","Jonas Brothers",0.699,0.705,11,-3.826,0,0.162,0.0122,0,0.395,0.352,223973,"Jealous"
"17","Jonas Brothers",0.65,0.884,9,-5.078,1,0.06,0.0144,1.84e-06,0.827,0.841,195200,"Sucker"
"18","Jonas Brothers",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,181026,"Sucker"
"19","Jonas Brothers",0.683,0.598,0,-5.487,1,0.0423,0.00873,0,0.156,0.62,167106,"Cool"
"20","Jonas Brothers",0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,183000,"Only Human"
"21","Jonas Brothers",0.749,0.774,9,-6.221,1,0.12,0.0857,1.14e-05,0.11,0.35,217533,"I Believe"
"22","Jonas Brothers",0.71,0.517,1,-6.85,1,0.0448,0.172,0,0.0786,0.176,184986,"Used To Be"
"23","Jonas Brothers",0.756,0.685,11,-5.176,0,0.0446,0.135,0,0.123,0.91,212093,"Every Single Time"
"24","Jonas Brothers",0.731,0.858,1,-5.082,0,0.0981,0.0245,0,0.0852,0.732,172560,"Don't Throw it Away"
"25","Jonas Brothers",0.74,0.337,8,-6.039,1,0.0282,0.178,0,0.0944,0.56,193133,"Love Her"
"26","Jonas Brothers",0.782,0.793,7,-7.054,1,0.0399,0.000199,0.000215,0.306,0.906,158466,"Happy When I'm Sad"
"27","Jonas Brothers",0.806,0.559,0,-6.329,1,0.0588,0.0248,1.63e-05,0.135,0.671,180600,"Trust"
"28","Jonas Brothers",0.594,0.842,1,-4.892,1,0.072,0.0312,0,0.071,0.573,233853,"Strangers"
"29","Jonas Brothers",0.622,0.485,2,-7.259,1,0.0322,0.227,0,0.0889,0.236,208840,"Hesitate"
"30","Jonas Brothers",0.697,0.58,11,-7.986,0,0.0451,0.0583,0,0.393,0.467,181813,"Rollercoaster"
"31","Jonas Brothers",0.55,0.553,0,-7.34,1,0.0403,0.0913,0,0.111,0.185,155680,"Comeback"
"32","Jonas Brothers",0.594,0.464,0,-7.898,1,0.034,0.306,0,0.187,0.545,193866,"Please Be Mine"
"33","Jonas Brothers",0.582,0.697,7,-3.842,1,0.0695,0.000745,0,0.185,0.701,153346,"S.O.S."
"34","Jonas Brothers",0.442,0.961,1,-2.914,1,0.0928,3.51e-05,3.59e-05,0.0619,0.405,168480,"Mandy"
"35","Jonas Brothers",0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,201960,"Year 3000"
"36","Jonas Brothers",0.468,0.893,11,-3.554,1,0.13,0.00389,0,0.367,0.81,164973,"Hold On"
"37","Jonas Brothers",0.614,0.494,4,-6.17,1,0.0536,0.132,0,0.197,0.532,220693,"Lovebug"
"38","Jonas Brothers",0.661,0.949,2,-3.378,1,0.0802,0.0299,0,0.345,0.837,175093,"Burnin' Up"
"39","Jonas Brothers",0.369,0.964,6,-2.827,1,0.143,0.00692,0,0.322,0.549,130053,"I Am What I Am"
