"age","income","months_subbed","upgrade"
22,55.89,14,0
32,86.03,57,0
38,49.22,37,1
14,92.71,51,1
33,94.06,37,0
34,41.88,76,1
26,98.78,71,0
26,75.51,62,0
26,66.52,5,0
24,88.92,51,1
27,105.61,13,0
23,111.3,34,0
25,55.99,4,0
30,71.25,32,0
37,82.93,56,1
29,81.32,59,1
26,71.1,27,1
24,33.16,30,0
24,74.43,4,1
47,56.36,73,1
31,80.66,17,1
27,63.25,72,0
27,77.65,14,1
33,65.17,57,1
25,71.83,50,0
20,72.44,71,0
34,106.57,57,0
23,94.33,69,1
30,75.35,9,0
23,55.48,40,1
38,100.95,68,0
27,51.27,38,1
25,56.35,55,0
26,64.48,11,0
19,60.55,48,0
22,61.93,25,1
15,105.74,49,0
21,77.88,76,0
28,65.68,54,1
27,93.43,60,0
40,83.95,67,0
23,55.6,17,0
24,68.78,25,0
28,90.67,10,1
23,119.01,42,1
23,111.64,78,0
22,96.76,80,0
21,79.74,25,1
26,45.48,12,0
27,65.38,37,0
17,75.69,50,0
26,89.8,66,1
22,81.19,7,0
23,81.17,18,0
29,116.77,47,1
34,87.75,75,0
42,74.39,67,1
25,71.43,71,1
41,81.91,2,1
22,63.73,32,1
35,107.36,23,1
48,74.25,4,1
30,69.43,79,0
25,62.54,22,0
30,98.72,18,1
42,54.45,15,1
22,70.63,7,1
40,86.25,64,1
39,77.83,54,1
32,85.02,7,0
30,53.68,20,0
27,71.4,60,0
27,45.92,75,1
35,63.16,41,1
44,102.97,69,0
29,85.06,9,1
20,81.71,63,1
25,61.33,58,1
32,68.86,7,1
28,59.67,80,1
29,81.07,52,1
29,95.3,61,1
20,85.98,52,1
29,67.65,48,0
36,91.06,2,1
35,87.76,62,1
34,96.86,59,1
27,71.19,23,0
29,56.41,50,0
22,78.31,60,0
30,86.06,12,1
32,111.18,17,1
42,78.61,34,1
37,88.54,22,1
27,78.33,78,0
32,123.13,39,0
22,106.76,63,0
36,75.35,44,1
37,77.45,9,0
45,79.57,44,1
33,82.27,43,0
27,68.7,26,1
30,81.61,77,0
26,66.08,67,1
24,58.08,42,1
31,96.09,26,1
24,93.13,25,0
31,68.64,44,1
32,105.46,70,1
30,76.15,32,0
29,74.33,26,0
25,60.93,12,1
22,79.51,33,1
36,77.26,23,1
30,81.35,65,0
36,88.9,40,1
21,98.13,77,0
31,86.55,66,1
35,99.85,17,1
30,101.31,65,0
29,21.39,33,1
25,72.74,33,1
44,91.4,38,1
35,57.61,36,1
43,60.79,65,1
31,85.47,16,0
26,71.17,75,1
19,45.37,13,0
26,98.12,76,1
32,63.18,22,0
37,87.73,33,1
32,88.25,21,1
22,110.43,66,0
35,83.93,54,1
18,93.31,16,1
27,102.81,78,1
28,71.87,24,0
16,46.89,10,1
36,82.86,10,1
26,106.52,77,0
28,51.87,12,1
40,100.24,71,1
34,78.8,58,0
29,81.99,2,1
34,73.02,62,1
33,100.74,55,1
42,108.48,47,0
32,111.42,52,1
34,60.65,19,1
32,95.19,63,0
27,72.48,50,1
31,60.33,12,1
41,87.8,10,0
24,79.64,32,1
31,95.83,4,1
40,115.85,11,1
28,100.73,25,0
23,66.09,78,0
24,82.79,28,0
27,108.26,65,1
24,103.49,15,0
28,48.3,46,1
27,98.93,3,1
29,73.19,54,1
33,67.49,28,1
34,57.98,35,1
42,73.76,57,1
30,93.77,26,1
28,108.71,63,1
40,82.78,43,1
42,78.54,76,1
30,75.95,19,0
28,99.08,42,0
17,58.38,46,1
40,85,79,1
24,100.43,25,1
22,101.24,54,0
51,88.34,39,1
32,56.75,36,1
30,63.58,4,0
11,65.59,3,1
29,51.13,50,0
37,80.8,79,1
33,104.46,2,0
36,31.07,74,0
44,95.17,71,0
38,75.95,59,1
26,64.62,70,0
35,95.4,70,0
29,92.97,17,0
26,81.92,68,0
10,61.61,59,0
24,65.9,65,0
33,47.66,28,1
45,117.62,66,0
34,76.89,57,0
34,64.91,69,1
23,36.78,10,1
31,71.41,20,1
15,69.02,13,1
33,51.95,32,1
35,127.68,56,0
31,97.46,44,0
35,49.29,12,0
32,102.68,16,1
35,100.9,36,1
43,91.8,79,1
38,87.98,79,0
30,82.9,8,0
22,92.38,46,1
33,59.35,45,1
27,67.01,10,0
40,59.96,18,0
19,76.68,54,0
27,82.93,43,0
33,92.04,62,0
29,90.58,46,0
26,108.91,18,1
28,91.95,39,0
34,105.13,60,1
36,101.95,1,1
35,68.23,38,0
46,95.03,1,1
38,89.07,53,1
32,82.38,61,1
25,61.93,25,1
50,91.76,16,0
35,81.27,3,1
25,72.9,44,1
31,98.45,36,0
28,99.85,63,1
28,97.47,64,1
23,27.78,35,0
31,62.05,11,1
32,98.74,20,1
22,65.09,41,0
7,88.17,33,0
28,83.66,30,1
30,102.15,76,1
34,65.79,48,1
30,78.84,75,1
33,86.9,37,0
22,105.45,78,1
35,76.45,25,1
35,85.81,75,1
32,53.14,36,1
40,92.66,5,1
33,84.14,5,0
32,92.79,4,1
32,71.79,46,1
33,113.71,43,1
37,77.2,10,1
33,82.42,35,0
35,77.89,79,0
22,96.93,7,1
27,64.63,27,1
40,84.03,3,0
21,91.49,71,0
32,55.1,72,0
33,84.55,67,1
37,68.12,76,0
28,108.58,13,1
31,94.1,49,1
18,45.5,79,1
32,98.39,46,0
25,84.35,54,1
28,68.77,37,1
22,72.89,26,1
33,54.56,26,1
35,87.72,23,1
28,47.23,7,1
43,77.19,33,1
35,89.1,34,1
37,81.67,57,1
44,97.18,13,1
25,81.01,38,0
36,126.18,46,1
37,62.81,11,1
30,110.78,61,1
32,47.71,1,0
23,58.45,31,0
33,61.97,44,0
25,49.58,75,0
36,109.69,11,0
24,100.67,76,1
32,107.43,38,1
24,67.82,71,0
28,81.71,43,0
19,102.37,7,0
31,101.21,75,1
37,91.2,6,0
31,83.16,33,1
18,56.72,43,1
26,86.19,37,1
42,76.43,45,0
43,66.91,64,1
22,111.52,60,0
27,65.97,15,0
32,84.86,7,1
32,90.32,29,1
26,101.02,32,1
23,87.35,41,1
29,119.46,51,0
37,88.9,27,1
30,70.23,5,1
25,82.05,78,1
26,93.38,46,1
41,36.19,35,1
27,78.09,78,1
35,80.83,79,0
40,75.23,6,1
33,81.03,76,1
27,40.16,73,1
30,86.92,47,0
27,80.06,68,1
39,70.15,40,1
29,22.71,68,0
41,71.78,55,1
26,82.36,74,0
25,78.58,34,0
31,67.83,41,1
30,86.43,76,1
26,61.79,47,0
19,93.99,15,1
30,96.51,14,1
25,99.15,67,1
38,95.98,56,1
23,72.96,13,0
38,79.5,72,1
25,104.9,78,0
32,92.22,47,0
36,86.94,24,1
26,105.58,71,1
34,67.46,31,1
29,80.51,72,1
22,106.03,35,1
28,75,9,1
41,82.7,38,1
29,77.07,51,0
24,104.68,59,1
30,82.71,26,1
32,81.34,67,1
37,66.38,35,1
38,71.63,16,1
31,48.62,35,1
38,88.19,72,0
25,96.96,11,0
14,53.25,13,0
27,88.03,66,0
26,86.58,42,0
14,83.91,15,0
34,81.43,79,1
25,112.7,55,0
28,86.66,78,1
19,108.04,4,1
34,89.02,41,0
43,89.75,29,1
24,69.21,15,1
29,133.82,34,0
44,78.8,24,0
37,70.05,21,1
43,87.65,66,0
30,88.18,35,1
29,94.47,33,0
26,61.7,68,0
40,77.26,30,1
21,111.49,58,1
32,70.34,16,1
30,72.88,18,0
46,92.2,31,1
26,67.88,34,1
19,102.69,2,1
32,88.45,37,1
30,81.79,76,0
24,48.17,29,0
31,73.06,78,1
28,120.69,36,1
25,74.28,67,1
34,93.09,31,1
28,61.51,58,1
17,48.19,79,1
11,94.19,32,0
26,108.99,50,1
40,49.11,38,1
36,96.92,57,0
39,86.62,21,0
37,72.68,23,0
32,114.99,66,1
19,59.9,48,0
31,77.65,32,1
41,93.37,49,1
6,58.35,37,1
25,102.12,53,0
38,77.72,77,1
34,104.58,46,0
36,79.53,30,0
33,65.3,78,1
34,53.19,73,1
30,52.54,3,1
24,77.02,63,0
21,39.87,57,1
30,48.81,17,0
27,119.25,56,1
24,76.43,80,1
33,107.15,20,1
31,112.98,36,0
40,82.39,42,1
22,80.07,63,1
26,83.93,15,0
29,93.59,4,1
20,96.02,19,1
28,39.7,70,0
25,80.95,2,0
15,92.26,46,1
28,76.6,72,1
26,84.52,16,0
38,97.85,24,1
26,77.05,9,0
34,110.74,58,0
31,89.05,70,1
21,48.09,32,1
33,76.26,41,1
29,91.35,78,1
31,83.25,12,1
35,52.56,48,1
31,42.32,78,0
41,78.64,79,1
31,93.75,76,0
21,65.84,46,0
35,87.55,31,1
21,91.62,74,0
17,99.49,55,1
24,91.75,44,1
25,84.91,43,0
26,48.68,51,0
41,69.84,45,1
41,97.17,33,1
35,89.04,15,0
21,62.04,44,0
