"age","income","months_subbed","upgrade"
21,46.91,37,0
35,53.38,39,1
24,93.23,40,1
25,96.59,79,0
31,64.55,70,1
28,61.37,46,0
25,82.95,33,1
30,87.12,20,0
34,61.45,71,1
18,91.92,65,0
32,74.14,14,1
31,57.14,32,0
14,81.4,33,0
27,68.21,7,0
24,50.13,49,1
25,78.17,15,1
15,58.5,61,1
29,96.65,31,0
42,78.14,63,1
31,120.23,72,0
28,62.2,3,0
29,73.93,59,0
33,91.8,42,0
32,86.94,34,1
19,91.74,2,0
35,80.7,64,0
31,104.59,1,1
26,61.75,74,1
32,97.8,52,0
28,70.83,8,0
28,51.52,1,0
24,44.82,14,1
21,91.18,31,0
30,93,26,1
21,60.46,47,1
15,90.7,57,1
43,49.67,48,1
36,99.14,61,1
32,81.62,6,1
14,77.78,65,0
28,74.98,32,0
40,82.77,25,1
30,99.31,1,1
42,118.32,68,0
26,47.02,50,1
32,119.29,27,0
31,93.13,10,1
38,82.57,27,1
34,72.49,41,1
29,66.84,66,0
26,39.15,77,1
33,58.31,25,1
35,79.28,72,1
35,90.21,36,1
32,93.15,27,1
20,128.47,60,0
28,79.59,26,0
39,76.51,21,0
34,67.02,17,1
27,91.11,47,1
30,74.48,46,0
38,77.06,70,1
30,75.5,9,0
33,80.73,70,1
25,60.4,48,1
31,58.36,62,1
36,39.81,67,1
35,90.15,30,1
42,71,66,1
31,82.02,56,1
24,84.51,65,1
39,36.96,35,1
14,93.25,26,1
22,86.27,13,1
21,86.05,2,1
41,94.18,38,1
39,38.85,25,1
31,40.59,67,0
31,94.39,56,1
29,50.28,11,1
36,102.39,20,1
17,97.09,37,0
24,81.85,70,1
19,85.97,2,1
29,83.93,78,1
25,99.67,7,0
34,69.89,69,1
32,78.79,47,1
30,86.76,25,1
39,70.04,65,1
22,89.75,18,1
32,66.46,52,1
33,81.98,35,1
44,78.33,26,1
42,102.82,7,1
29,47.46,59,1
38,97.61,64,1
31,71.32,12,0
29,52.72,15,1
39,88.51,5,1
29,104.48,19,1
40,62.49,13,1
25,49.87,77,1
22,95.31,60,0
31,91.65,25,1
29,110.97,29,1
25,74.61,7,0
15,77.24,17,1
29,80.48,75,0
34,99.64,17,1
32,73.3,35,1
19,100.75,79,1
30,76.24,49,0
30,59.19,57,1
33,72.6,27,1
26,83.05,72,1
19,83.92,6,1
26,96.81,50,0
36,48.97,24,1
31,91.84,62,0
29,136.61,13,0
28,125.94,38,0
32,43.38,61,0
37,98.49,46,0
25,136.51,60,1
39,74.73,41,0
22,93.42,15,1
35,73.19,68,1
32,105.34,23,1
43,57.43,63,1
35,70.51,14,1
33,61.12,16,1
28,90.74,15,1
32,92.09,28,1
24,95.46,53,1
38,141.06,58,0
39,83.06,45,0
29,68.67,69,1
33,71.87,6,0
36,123.4,60,1
30,57.28,37,0
35,45.89,47,0
17,52.93,60,0
46,67.39,63,1
23,88.42,43,0
33,102.49,65,1
25,61.1,55,1
30,60.27,40,1
38,59.39,23,1
23,56.73,62,1
24,68.46,68,0
24,96.02,4,0
30,82,70,0
22,116.4,70,0
24,90.59,10,1
35,64.59,52,1
33,122.93,72,1
39,68.87,32,1
30,55.94,14,0
35,66.26,75,0
35,134.29,62,0
38,88.42,32,0
32,57.79,23,0
19,72.1,5,1
30,56.87,72,0
31,87.77,59,1
22,62.91,78,0
39,112.23,17,1
37,76.09,50,1
31,83.21,16,1
29,84.29,58,1
33,72.13,69,1
26,96.46,53,0
30,75.63,37,0
25,66.06,52,0
34,71.85,79,1
28,97.66,71,1
29,55.56,35,0
36,36.7,17,0
29,105.7,47,0
32,83.24,32,1
22,83.33,58,0
14,63.35,16,1
27,73.55,7,1
24,50.2,56,1
17,80.42,63,1
30,59.34,45,0
30,74.06,52,0
33,86.6,50,1
19,82.91,24,1
34,54.16,68,0
27,112.74,46,1
29,49.71,41,0
21,105.96,15,0
41,76.47,73,1
24,77.21,56,0
33,74.99,26,1
29,102.93,73,0
35,44.43,71,1
32,41.66,24,1
23,60.85,37,0
20,71.51,27,1
25,72.09,2,1
26,29.59,63,1
29,61.08,34,0
32,63.38,30,1
25,72.69,34,1
33,95.55,12,0
34,74.07,14,1
36,55.23,31,1
35,91.87,34,1
30,67.39,62,1
28,111.72,49,0
23,65.7,25,1
20,69.66,1,1
25,72.59,61,1
29,63.96,35,1
29,69.94,45,1
37,108.67,30,1
34,64.77,71,1
39,87.25,46,1
32,94.16,78,0
29,72.21,4,0
24,87.06,57,0
33,99.21,3,1
28,50.94,50,1
31,42.55,50,1
34,73.68,21,0
29,62.34,53,0
30,80.94,33,1
29,81.86,4,1
28,91.73,67,0
38,56.9,62,0
28,84.99,21,1
20,74.67,37,0
28,74.15,39,1
24,106.6,12,0
26,98.22,55,0
22,98.42,55,1
32,87.35,23,1
43,65.56,7,1
21,107.47,6,1
31,69.3,33,1
30,74.96,36,0
25,82.54,46,0
25,78.34,61,0
14,66.51,74,1
34,96.05,27,1
33,128.06,72,0
35,42.38,42,0
26,75.76,32,0
23,67.45,52,1
37,111.38,17,1
40,64.27,47,0
20,63.76,78,1
27,77.06,66,1
23,67.58,34,0
36,86.17,48,0
14,69.67,63,1
25,64.58,5,1
32,99.29,70,1
13,79.06,3,0
32,90.63,44,1
32,78.95,59,1
31,54.86,13,1
27,96.25,74,1
38,71.41,40,0
39,67.46,4,0
28,107.27,37,0
23,89.98,63,1
30,78.98,4,0
29,75.39,51,0
23,56.84,27,0
21,83.63,58,0
32,63.11,60,0
21,79.76,6,0
35,97.04,24,1
39,104.62,27,0
32,85.08,60,1
26,65.36,28,0
15,100.83,52,1
27,86.71,40,1
34,59.35,76,1
36,50.58,20,1
33,62.36,67,1
32,97.53,69,1
40,70.68,2,1
29,94.54,26,0
33,109.12,54,1
28,95.96,76,0
33,132.38,33,1
34,98.28,13,1
15,79.71,23,1
28,64.21,65,1
24,65.14,51,0
19,68.25,22,0
30,93.04,35,1
29,106.81,73,1
19,70.42,14,0
18,65.59,18,1
25,91.9,26,0
40,99.32,13,0
28,96.57,35,0
23,74.17,40,0
35,66.47,21,0
29,98.13,14,0
20,52.84,46,0
25,33.78,41,1
40,75.85,10,1
30,75.87,65,1
21,79.59,1,1
10,83.82,71,0
27,67.18,55,0
39,100.98,42,1
25,93.21,29,1
35,117.32,13,1
26,47.24,70,0
20,74.55,44,1
29,91.74,53,0
39,52.87,63,0
27,102.82,34,0
30,50.36,24,0
26,78.93,45,0
31,71.63,7,1
24,84.66,13,1
33,88,68,1
36,104.37,16,1
44,73.19,77,1
37,77.66,79,1
25,91.03,17,1
23,51.4,65,1
27,51.64,3,0
29,107.19,30,1
25,80.1,15,0
26,81.26,30,1
22,77.37,22,1
22,81.23,7,1
29,89.12,32,1
36,100.15,30,1
23,88.96,68,0
28,90.5,59,1
32,72.44,18,0
29,75.59,60,1
30,62.98,2,0
34,34.7,44,0
39,76.68,16,0
32,64.41,25,1
26,45.16,39,0
30,77.43,37,1
28,90.61,43,0
31,76.23,78,1
33,86.38,56,0
40,84.74,57,0
32,22.54,44,1
15,76.87,39,0
44,72.64,15,0
31,47.28,67,0
32,86.91,74,0
36,70.23,8,0
28,66.78,34,1
32,81.23,2,1
37,80.73,24,0
