year	Screened	Total weapons	Handguns	Long guns	Firearm arrests	Explosives	false info
1977	508.8	2034	1730	64	810	5	44
1978	579.7	2058	1827	67	896	3	64
1979	592.5	2161	1962	55	1060	3	47
1980	585	2022	1878	36	1031	8	32
1981	598.5	2255	2124	44	1187	11	49
1982	630.2	2676	2559	57	1314	1	27
1983	709.1	2784	2634	67	1282	4	34
1984	775.6	2957	2766	100	1285	6	27
1985	992.9	2987	2823	90	1310	12	42
1986	1055.30	3241	2981	146	1415	11	89
1987	1095.60	3252	3012	99	1581	14	81
1988	1054.90	2773	2591	74	1493	11	222
1989	1113.30	2879	2397	92	1436	26	83
1990	1145.10	2853	2490	59	1336	15	18
1991	1015.10	1919	1597	47	893	94	28
1992	1110.80	2608	2503	105	1282	167	13
1993	1150.00	2798	2707	91	1354	251	31
1994	1261.30	2994	2860	134	1433	505	35
1995	1263.00	2390	2230	160	1194	631	68
1996	1496.90	2155	1999	156	999	NA	131
1997	1659.70	2067	1905	162	924	NA	72
1998	1666.50	1515	1401	114	660	NA	86
1999	1767.00	1552	1421	131	633	NA	58
2000	1812.00	1937	1643	294	600	NA	61
