Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Roy Lassiter,TB ,F,30,30,2580,27,4,76,49,4,3/3,19,8,0.94,35.5,2,2,2,0.14,20,39,70,2,0,64.47,1996,reg
Raul Diaz Arce,DC ,F,28,28,2351,23,2,100,49,4,4/4,15,8,0.88,23.0,0,0,2,0.08,32,26,35,6,1,49.0,1996,reg
Eduardo Hurtado,LA ,F,26,26,2323,21,7,87,56,6,2/3,13,8,0.81,24.1,0,4,3,0.27,48,26,25,5,0,64.37,1996,reg
Preki,KC ,M,32,32,2880,18,13,140,61,3,7/8,14,4,0.56,12.9,2,9,4,0.41,26,44,7,3,0,43.57,1996,reg
Brian McBride,CLB,F,28,28,2307,17,3,79,44,3,3/4,12,5,0.66,21.5,0,2,1,0.12,21,46,10,0,0,55.7,1996,reg
Steve Rammel,DC ,F,26,20,1649,14,3,54,32,6,0/0,11,3,0.76,25.9,0,3,0,0.16,27,42,20,4,0,59.26,1996,reg
Vitalis Takawira,KC ,F,28,25,2233,13,7,70,48,3,0/0,10,3,0.52,18.6,0,4,3,0.28,35,42,44,0,1,68.57,1996,reg
Paul Bravo,SJ ,M,31,31,2654,13,5,58,29,4,1/1,3,10,0.44,22.4,0,5,0,0.17,36,69,30,2,0,50.0,1996,reg
Jason Kreis,DAL,M,31,29,2564,13,5,90,41,3,0/0,7,6,0.46,14.4,0,3,2,0.18,38,48,7,4,0,45.56,1996,reg
Giovanni Savarese,MET,F,26,15,1576,13,1,49,32,3,1/1,8,5,0.74,26.5,0,1,0,0.06,27,22,38,1,0,65.31,1996,reg
Pete Marino,CLB,F,29,18,1700,11,4,52,36,1,0/0,4,7,0.58,21.2,1,1,3,0.21,41,34,28,0,0,69.23,1996,reg
Jean Harbor,COL,F,29,27,2111,11,4,61,33,0,3/3,7,4,0.47,18.0,2,4,0,0.17,43,39,24,3,1,54.1,1996,reg
Joe-Max Moore,NE ,F,14,14,1238,11,1,36,19,4,3/3,8,3,0.8,30.6,0,1,0,0.07,20,24,16,2,0,52.78,1996,reg
Eric Wynalda,SJ ,F,27,26,2326,10,13,68,38,3,2/2,6,4,0.39,14.7,2,9,4,0.5,39,55,40,6,0,55.88,1996,reg
Eduardo Espinoza,SJ ,F,26,26,2310,10,5,54,30,3,0/0,7,3,0.39,18.5,1,1,4,0.19,33,49,35,5,1,55.56,1996,reg
Mark Chung,KC ,M,32,32,2847,8,9,81,40,2,0/0,4,4,0.25,9.9,2,5,4,0.28,35,69,4,0,0,49.38,1996,reg
Shaun Bartlett,COL,F,26,26,2252,8,7,88,39,3,0/0,5,3,0.32,9.1,1,5,2,0.28,25,32,27,5,0,44.32,1996,reg
Giuseppe Galderisi,NE ,F,25,22,1961,7,8,57,25,1,0/0,4,3,0.32,12.3,2,3,5,0.37,32,89,22,5,0,43.86,1996,reg
Cobi Jones,LA ,M,28,27,2375,7,4,48,24,0,0/0,1,6,0.27,14.6,2,3,1,0.15,26,76,15,2,0,50.0,1996,reg
Steve Ralston,TB ,M,31,31,2762,7,2,24,12,5,0/0,5,2,0.23,29.2,0,1,1,0.07,25,33,4,1,0,50.0,1996,reg
Marcelo Balboa,COL,D,18,16,1525,7,2,28,14,1,0/0,4,3,0.41,25.0,1,2,0,0.12,15,22,4,2,0,50.0,1996,reg
Adrian Paz,CLB,M,27,19,1802,6,10,48,25,1,1/1,4,2,0.3,12.5,0,4,6,0.5,36,54,36,1,0,52.08,1996,reg
Alberto Naveda,NE ,F,25,20,1734,6,7,65,35,1,0/0,4,2,0.31,9.2,2,5,2,0.36,51,60,3,8,0,53.85,1996,reg
Harut Karapetyan,LA ,F,28,23,1860,6,6,62,30,1,0/0,4,2,0.29,9.7,1,2,4,0.29,27,27,16,1,0,48.39,1996,reg
Hugo Sanchez,DAL,F,23,21,1708,6,3,40,23,1,1/1,5,1,0.32,15.0,1,2,1,0.16,27,36,9,6,1,57.5,1996,reg
Maurice Johnston,KC ,M-F,29,29,2573,6,3,54,28,1,0/0,4,2,0.21,11.1,2,2,1,0.1,34,24,23,4,0,51.85,1996,reg
Antony De Avila,MET,F,8,7,650,6,2,20,13,1,0/0,5,1,0.83,30.0,1,1,1,0.28,19,9,6,1,0,65.0,1996,reg
Mauricio Cienfuegos,LA ,M,28,27,2405,5,11,47,26,2,2/3,4,1,0.19,10.6,2,5,6,0.41,24,46,17,6,0,55.32,1996,reg
Gerell Elliott,DAL,F,20,16,1523,5,7,43,24,1,0/0,4,1,0.3,11.6,2,1,6,0.41,15,25,20,0,0,55.81,1996,reg
Martin Vasquez,TB ,M,31,31,2700,5,6,51,25,2,0/0,2,3,0.17,9.8,0,6,0,0.2,49,36,2,5,0,49.02,1996,reg
Brian Maisonneuve,CLB,M,15,13,1209,5,2,22,12,3,0/0,2,3,0.37,22.7,1,1,1,0.15,24,27,2,1,0,54.55,1996,reg
John Kerr,DAL,F,19,16,1404,5,2,29,14,1,0/0,1,4,0.32,17.2,2,2,0,0.13,21,19,11,1,0,48.28,1996,reg
A.J. Wood,MET,F,21,13,1136,5,2,34,22,2,0/0,3,2,0.4,14.7,0,2,0,0.16,17,25,4,0,0,64.71,1996,reg
Steve Trittschuh,COL,D,32,32,2880,5,2,45,20,1,0/0,4,1,0.16,11.1,1,2,0,0.06,51,31,1,2,0,44.44,1996,reg
Diego Viera,TB ,F,17,6,774,5,0,17,10,0,0/0,3,2,0.58,29.4,0,0,0,0.0,21,12,10,3,1,58.82,1996,reg
Marco Etcheverry,DC ,M,26,23,2144,4,19,51,30,2,0/0,3,1,0.17,7.8,6,10,9,0.8,36,50,4,7,0,58.82,1996,reg
Carlos Valderrama,TB ,M,23,23,2059,4,17,24,12,2,3/3,3,1,0.17,16.7,6,13,4,0.74,10,40,3,0,0,50.0,1996,reg
Tony Sanneh,DC ,D,25,24,2047,4,8,32,19,1,0/0,1,3,0.18,12.5,2,5,3,0.35,55,20,5,4,0,59.38,1996,reg
Mike Sorber,KC ,M,23,23,1960,4,6,34,12,2,0/0,2,2,0.18,11.8,1,5,1,0.28,29,27,2,2,0,35.29,1996,reg
Darren Sawatzky,NE ,F,28,19,1776,4,5,41,22,2,0/0,2,2,0.2,9.8,1,4,1,0.25,25,8,16,1,0,53.66,1996,reg
Miles Joseph,MET,M,24,23,1927,4,4,27,19,2,0/0,2,2,0.19,14.8,0,2,2,0.19,26,28,7,3,0,70.37,1996,reg
Brian Haynes,DAL,M,26,23,1983,4,3,29,16,1,0/0,2,2,0.18,13.8,1,1,2,0.14,26,40,3,1,0,55.17,1996,reg
Paul Keegan,NE ,F,27,20,1844,4,3,30,18,0,0/0,3,1,0.2,13.3,0,1,2,0.15,40,40,16,4,0,60.0,1996,reg
Rob Johnson,MET,F,18,12,1136,4,3,34,16,1,0/0,3,1,0.32,11.8,1,2,1,0.24,27,17,9,2,0,47.06,1996,reg
Marcelo Carrera,CLB,F,30,12,1339,4,2,26,16,0,0/0,2,2,0.27,15.4,0,2,0,0.13,15,36,2,0,0,61.54,1996,reg
