Title	Author	List Price	Amazon Price	Hard/ Paper	NumPages	Publisher	Pub year	ISBN-10	Height	Width	Thick	Weight (oz)
"1,001 Facts that Will Scare the S#*t Out of You: The Ultimate Bathroom Reader"	Cary McNeal	12.95	5.18	P	304	Adams Media	2010	1605506249	7.8	5.5	0.8	11.2
21: Bringing Down the House - Movie Tie-In: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions	Ben Mezrich	15	10.2	P	273	Free Press	2008	1416564195	8.4	5.5	0.7	7.2
100 Best-Loved Poems (Dover Thrift Editions)	Smith	1.5	1.5	P	96	Dover Publications	1995	486285537	8.3	5.2	0.3	4
1421: The Year China Discovered America	Gavin Menzies	15.99	10.87	P	672	Harper Perennial	2008	0061564893	8.8	6	1.6	28.8
1493: Uncovering the New World Columbus Created	Charles C. Mann	30.5	16.77	P	720	Knopf	2011	0307265722	8	5.2	1.4	22.4
1861:  The Civil War Awakening	Adam Goodheart	28.95	16.44	H	460	Knopf	2011	1400040159	8.9	6.3	1.7	32
A Christmas Carol and Other Christmas Writings (Penguin Classics)	Dickens	20	13.46	H	336	Penguin Classics Hardcover	2010	141195851	7.8	5.3	1.2	15.5
A Confederacy of Dunces	John Kennedy Toole	15	8.44	P	405	Grove Weidenfeld	1987	802130208	8.2	5.3	0.8	11.2
A Dance With Dragons	"Martin RR, George"	35	18.81	H		Bantam	2011	553801473	9.6	6.5	2.1	
A Farewell To Arms	Ernest Hemingway	30	19.8	H	304	Scribner	1997	0684837889	9.6	6.4	1.1	19.2
A Fine Balance	Rohinton Mistry	17	8.97	P	624	Vintage	2001	140003065X	7.7	5.1	1.7	16.2
A Game of Thrones: A song of fire and ice	George R.R. Martin	17	10.46	P	720	Bantam	2011	553386790	9.1	6.2	1.5	27.2
A Guide to the Good Life: The Ancient Art of Stoic Joy	William B. Irvine	19.95	13.57	H	336	Oxford University Press	2008	0195374614	7	5.3	1.3	14.9
A Hammock Beneath the Mangoes: Stories from Latin America	Thomas Colchie	20	14.6	P	448	Plume	1992	452268664	9	6	1	16
A Holocaust Reader: Responses to the Nazi Extermination	Michael L. Morgan (editor)	39.95	37.95	P	384	"Oxford University Press, USA"	2000	0195059581	9.2	6.6	0.8	22.4
A Light in the Attic	Shel Silverstein	18.99	11.58	H	192	HarperCollins	2009	61905852	8.8	6.8	1	25.6
A Midsummer Night's dream No Fear Shakespeare	Sparksnotes Editors	5.95	3.99	P	192	Sparks Notes	2003	1586638483	7.4	5.2	0.5	8.8
