"year","gender","age","height_cm","waist_size_cm","inseam_cm","test_group","salary_self_report_in_k","months_active","num_purchases","amount_spent_annual"
2020,"woman",34,168,98,75,0,69.83,21,89,729.73
2020,"man",28,168,88,76,0,61.39,7,32,621.73
2021,"woman",18,170,95,75,0,80.55,2,25,820.82
2021,"woman",43,167,97,75,0,82.98,4,89,880.33
2021,"other",29,173,89,74,0,62,5,95,690.35
2019,"man",34,162,85,73,0,50,13,92,740.78
2022,"woman",39,168,108,76,0,72.78,11,38,876.55
2019,"woman",38,166,95,72,0,59.95,21,26,504.47
2022,"nonbinary",26,173,99,74,0,69.78,13,84,1023.75
2022,"man",26,168,98,75,0,72.18,1,39,728.71
2022,"woman",25,181,86,73,0,60.39,8,67,706.06
2019,"man",21,165,96,73,0,60.43,3,61,596.91
2020,"man",24,167,77,76,0,67.57,20,37,650.78
2019,"woman",30,158,100,76,0,73.13,5,86,635.36
2020,"man",34,173,101,73,0,50.26,3,55,516.24
2022,"woman",36,171,82,75,0,79.31,4,72,979.2
2019,"man",33,180,91,69,0,66.16,7,49,288.48
2021,"woman",21,176,90,73,0,72.15,13,64,858.41
2021,"woman",27,163,80,74,0,73.57,18,76,850.15
2022,"woman",30,163,89,74,0,63.19,16,14,843.39
2020,"woman",41,167,110,74,0,84.31,8,15,906.88
2020,"woman",39,159,94,71,0,73.07,2,48,608.92
2022,"woman",38,169,97,73,0,95.06,24,56,835.67
2020,"man",41,166,103,74,0,53.45,1,47,559.42
2021,"woman",21,173,101,71,0,61.64,7,13,807.32
2021,"woman",32,167,96,73,0,60.25,8,37,788.04
2021,"man",42,173,92,70,0,66.9,4,59,661.2
2020,"woman",24,164,96,75,0,53.3,2,21,597.95
2021,"woman",42,164,89,73,0,74.97,14,51,985.37
2021,"woman",26,163,101,72,0,58.97,22,7,628.28
2021,"woman",41,168,97,73,0,70.19,15,22,879.83
2021,"woman",38,174,102,73,0,57.63,23,37,713.43
2019,"man",23,166,94,72,0,56.17,14,62,819.89
2019,"nonbinary",35,161,86,74,0,43.26,3,86,499.12
2021,"woman",23,166,96,70,0,66.93,1,83,642.96
2021,"woman",33,161,85,72,0,74,2,41,709.1
2020,"other",35,166,92,72,0,68.31,0,79,684.64
2020,"woman",23,158,90,75,0,69.3,16,56,745.24
2020,"nonbinary",39,165,100,76,0,70.4,14,38,643.1
2021,"man",32,170,93,72,0,75.62,7,73,794.59
