"Item_Name","Item_Description","Food_Category","Calories","Total_Fat","Saturated_Fat","Trans_Fat","Cholesterol","Sodium","Potassium","Carbohydrates","Protein","Sugar","Dietary_Fiber","Calories_100g","Total_Fat_100g","Saturated_Fat_100g","Trans_Fat_100g","Cholesterol_100g","Sodium_100g","Potassium_100g","Carbohydrates_100g","Protein_100g","Sugar_100g","Dietary_Fiber_100g"
"Chicken n Cheese Slider","Chicken n Cheese Slider on Mini Bun w/ Chicken Tender & Melted Cheese, Chicken, Sliders, Snack, Friends of Meat, Sliders, also called Chicken Tender n Cheese Slider","Burgers",290,12,3.5,0,25,720,NA,30,15,1,1,293,12,4,0,25,727,NA,30,15,1,1
"Corned Beef n Cheese Slider","Corned Beef n Cheese Slider on Mini Bun w/ Corned Beef & Melted Cheese, Sliders, Sliders, Snack, Friends of Meat, Corned Beef","Burgers",220,9,3.5,0,30,890,NA,21,14,1,1,242,10,4,0,33,978,NA,23,15,1,1
"Ham n Cheese Slider","Ham n Cheese Slider on Mini Bun w/ Roast Ham & Melted Cheese, Ham, Sliders, Snack, Friends of Meat, Kids Menu, Kids & Adults Menu","Burgers",230,9,3.5,0,30,750,NA,22,13,3,1,253,10,4,0,33,824,NA,24,14,3,1
"Jalapeno Roast Beef n Cheese Slider","Jalapeno Roast Beef n Cheese Slider on Mini Bun w/ Roast Beef, Jalapeno Peppers & Melted Cheese, Sliders, Roast Beef, Sliders, Snack, Friends of Meat, also called Jalapeno Roast Beef Slider","Burgers",240,11,4.5,0,30,670,NA,21,14,1,1,245,11,5,0,31,684,NA,21,14,1,1
"Roast Beef n Cheese Slider","Roast Beef n Cheese Slider on Mini Bun w/ Roast Beef & Melted Cheese, Kids Menu, Sliders, Sliders, Snack, Friends of Meat, Kids & Adults Menu","Burgers",240,11,4.5,0,30,670,NA,21,14,1,1,264,12,5,0,33,736,NA,23,15,1,1
"Personal Cheese Pretzel Pizza","Personal Cheese Pretzel Pizza, Pretzel Pizza","Pizza",600,14,6,1,35,910,NA,95,21,16,3,254,6,3,0,15,386,NA,40,9,7,1
"Personal Pepperoni Pretzel Pizza","Personal Pepperoni Pretzel Pizza, Pretzel Pizza","Pizza",700,23,9,1,55,1280,NA,95,25,16,3,275,9,4,0,22,502,NA,37,10,6,1
"Hamburger","Hamburger on Sesame Seed Bun w/ Flame Grilled Beef Patty, Pickles, Mustard & Ketchup, Flame Broiled Burgers, Burgers, Entrees, Kids Meals, Kids & Adults Menu; Choice in: Kids Meals","Burgers",220,8,3,0.5,30,380,NA,26,11,6,1,237,9,3,1,32,409,NA,28,12,6,1
"Cheeseburger","Cheeseburger on a Sesame Seed Bun w/ Flame Grilled Beef Patty, American Cheese, Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, Burgers, Value Menu, King Deals Value Menu, Entrees, Kids Meals, Kids & Adults Menu; Choice in: Kids Meals","Burgers",270,12,5,0.5,40,560,NA,27,13,7,1,260,12,5,0,38,538,NA,26,13,7,1
"Whopper Jr Sandwich","Whopper Jr Sandwich on a Sesame Seed Bun w/ Flame Grilled Beef Patty, Mayo, Tomatoes, Lettuce, Onions, Ketchup & Pickles, Whopper Sandwiches, Burgers","Burgers",310,18,5,0.5,40,390,NA,27,13,7,1,231,13,4,0,30,291,NA,20,10,5,1
