Candybarname	Calories	FatCal	TotalCal	Cholesterol	Sodium	Fiber	Sugar	Protein	Calcium	Nuts
AlmondJoy	4.7959184	2.4285714	0.26530612	0.04081633	1.4285714	0.04081633	0.48979592	0.04081633	0.06122449	1
5thAvenue	4.8214286	2.1607143	0.23214286	0.05357143	2.2500000	0.03571429	0.46428571	0.08928571	0.07142857	0
Cadbury'sCaramello	4.6285714	1.9142857	0.20000000	0.25714286	1.2285714	0	0.57142857	0.05714286	0.20000000	0
Hershey'sMilkChocolatewithAlmond	5.5128205	3.2051282	0.35897436	0.17948718	0.74358974	0.02564103	0.43589744	0.10256410	0.23076923	1
HersheyKitKat,BigKitKatBar	5.2000000	2.5090909	0.27272727	0.09090909	0.63636364	0.01818182	0.54545455	0.05454545	0.14545455	0
HersheyReesticks	5.2142857	2.8095238	0.30952381	0.07142857	2.6428571	0.02380952	0.40476190	0.09523810	0.07142857	0
M&MMars,3MusketeersBar	4.1739130	1.1304348	0.13043478	0.13043478	1.9565217	0	0.65217391	0.04347826	0.08695652	0
M&MMars,MilkyWay	4.2173913	1.3913043	0.17391304	0.13043478	2.3913043	0	0.60869565	0.04347826	0.13043478	0
M&MMars,MilkyWayDarkBar	4.4800000	1.4600000	0.16000000	0.14000000	2.2800000	0.02000000	0.60000000	0.02000000	0.06000000	0
M&MMars,Snickers	4.6666667	1.7192982	0.19298246	0.14035088	2.2807018	0.01754386	0.49122807	0.08771930	0.10526316	1
M&MMars,Twix	4.9824561	2.1929825	0.24561404	0.05263158	1.9298246	0.01754386	0.47368421	0.05263158	0.08771930	0
M&MMars,MARSAlmondBar	4.6600000	1.9800000	0.24000000	1.7000000	0.62000000	0.02000000	0.52000000	0.08000000	0.16000000	1
Nestle,100Grand	4.4651163	1.6976744	0.18604651	0.13953488	2	0	0.53488372	0.02325581	0.06976744	0
Nestle,BabyRuth	4.6190476	2.2380952	0.23809524	0	2.1428571	0.04761905	0.47619048	0.04761905	0.04761905	1
Nestle,Butterfinger	4.7555556	1.7111111	0.20000000	0	2.1333333	0.02222222	0.53333333	0.06666667	0.04444444	1
Nestle,Crunch	5.2250000	2.3750000	0.27500000	0.12500000	1.3250000	0.02500000	0.55000000	0.05000000	0.17500000	0
Reese'sPeanutButterCups	5.1555556	2.7555556	0.31111111	0.06666667	3.1333333	0.04444444	0.46666667	0.11111111	0.08888889	1
Rolo'sCaramels	4.7500000	1.8750000	0.20833333	0.12500000	1.8750000	0	0.64583333	0.04166667	0.14583333	0
Reese'sFastBreak,milkchocandpeanut butter	4.7321429	2.1071429	0.23214286	0.03571429	3.3035714	0.03571429	0.53571429	0.08928571	0.05357143	1
YorkPeppermintPatty 	3.8372093	0.65116279	0.06976744	0	0.27906977	0.02325581	0.62790698	0.02325581	0	0
Krackle	5.1219512	2.3902439	0.26829268	0.12195122	1.9512195	0.02439024	0.53658537	0.07317073	0.14634146	0
*EsteeMintChocolate	4.8750000	3.0750000	0.34250000	0	0	0	NA	0.05000000	0.05000000	0
*RussellStoverSugarFreePeanutButterCups	5	3.2500000	0.36000000	0	3.7500000	0.05500000	NA	0.02500000	0.12500000	1
Ghirardelli,Chocolate: Squares,Milk Chocw.Caramel Filling	4.8857143	2.4000000	0.26571429	0.22857143	1.2285714	0	0.51142857	0.05714286	0.11428571	0
Newman'sOwnOrganics:PeanutButterCups	5.2941176	3.1764706	0.35294118	0.17647059	2.0588235	0.01470588	0.41176471	0.11764706	0.05882353	1
AeroChocolateBar	5.1777778	2.5777778	0.28666667	0	0	0.00888889	0.57777778	0.06666667	0.04444444	0
*ChocoslimMilkChocolateBar	4.7555556	2.4000000	0.26666667	0	0.77777778	0	NA	0.08888889	0.04444444	0
MaunaLoa:MacademiawithCrispMilkChocolate	5.7000000	3.0600000	0.34000000	0.20000000	1.1000000	0.02000000	0.50000000	0.08000000	0.06000000	1
Toblerone	5.2000000	2.3400000	0.26000000	0.20000000	0.50000000	0.02000000	0.54000000	0.06000000	0.04000000	0
*Atkiins Endulge Coconut Correction	4.5000000	2.7500000	0.30000000	0	1.7500000	0.20000000	NA	0.10000000	NA
