"age","boredom_rating","risk_propensity","height","left_handed","reaction_time"
29,11.4,22.74,149.91,0,897.430445752707
36,19.22,7.23,194.61,0,900.370855919244
40,61.85,10.46,179.64,1,902.756381690639
23,59.91,11.22,141.5,1,901.106897422476
37,6.19,12.45,164.11,0,900.413601102502
38,69.93,12.12,127.21,0,900.426657247856
32,73.74,16.29,127.47,0,898.603397980855
32,2.33,7.73,143.63,0,899.778194300367
32,75.9,11.36,160.66,0,899.980065974365
31,36.22,11.22,148.71,0,900.403886730911
33,2.83,12.13,184.56,0,898.174668629958
30,93.75,10.98,201.69,0,901.069858178128
31,82.61,17.84,178.18,1,901.165405660294
35,18.67,15.19,185.21,0,899.435417224179
40,41.12,6.99,177.22,1,903.451972552378
34,37.56,18.67,181.87,0,899.38727883207
32,25.02,12.89,209.24,1,903.484041189527
30,72.97,17.84,146.12,0,898.333370505927
31,67.21,15.94,136.04,1,901.847864591247
47,29.15,17.04,212.32,0,901.078536792983
36,89.98,16.95,148.5,0,901.627005078195
33,85.65,11.83,134.01,1,902.601462144931
33,94.12,12.75,138.96,0,898.72156544078
37,3.5,9.37,174.96,0,900.647195355107
32,11.5,19.43,149.19,0,898.614047297481
28,90.46,12.6,152,0,901.491088396871
38,33.08,18.06,153.85,0,899.012323209923
30,29.56,12.96,178.27,0,899.087258041898
35,55.82,21.18,158.84,0,898.285117822159
30,13.71,18.21,177.59,0,898.62581590305
41,52.63,9.67,161.7,0,901.403803222842
33,53.5,13.7,183.08,0,899.6455535523
31,32.81,14.06,176.33,1,901.30125939957
32,48.22,15.34,170.33,0,899.280885980023
27,0.96,11.36,174.39,0,899.682260542035
29,43.55,10.92,123.33,0,898.891145493658
24,39.04,12.69,157.85,0,899.228772419087
28,35.89,19.6,152.31,0,898.923382364138
34,11.86,10.98,128.9,0,900.729651041246
33,60.1,14.28,163.6,0,900.699141530399
42,51.32,10.21,172.32,0,900.585996833182
30,58.77,10.94,171.42,0,900.55884676638
31,20.11,7.46,146.13,0,899.60961162885
34,97.84,17.84,167.13,0,899.517390177341
30,45.32,16.03,167.92,0,899.443930966029
30,98.07,9.84,196.58,0,900.333052206679
29,22.92,18.79,137.63,0,898.797621544269
29,36.1,19.73,173.78,0,899.466839489228
32,34.15,20.11,153.18,0,899.911223808785
33,54.86,14.76,164.94,0,900.144748231073
26,35.28,11.39,137.35,0,899.686672653088
32,58.85,8.51,142.42,0,901.094372903596
29,90.8,9.6,129.1,0,901.3394440747
30,43.79,10.82,158.18,0,899.228680720768
34,76.31,10.77,164.18,0,899.977300222985
38,85.92,18.93,154.87,0,899.903111272027
43,40.82,10.23,142.98,0,900.582585637248
31,56.81,21.72,172.2,0,900.086923770941
43,11.01,13.75,178.43,0,900.316772026591
29,58.12,14.55,154.47,0,900.081418531332
38,85.26,16.38,188.25,0,900.525663740266
48,55.12,9.31,134,0,902.540526157766
35,7.54,10.13,174.25,0,900.80449317875
32,23.34,11.88,175.92,0,899.496939847267
35,11.85,16.13,143.2,0,899.664305544397
44,96.05,13.53,171.56,0,902.026959904883
29,21.88,8.43,173.73,0,899.936351138248
42,37.49,13.56,183.49,0,900.701639431181
42,16.54,15.96,167.55,0,899.016093324805
37,4.83,12.2,142.35,0,900.384046891389
35,18.31,9.56,149.2,0,899.70435592541
33,9.72,9.27,150.13,0,899.614502918315
33,90.1,12.9,180.16,0,900.285776703266
38,18.13,15.71,148.07,0,897.854286091414
45,45.77,18.84,136.77,0,900.890762407027
34,80.98,7.37,170.09,0,900.762300000656
28,23.7,10,177.24,0,899.644387870948
31,63.26,4.21,202.31,0,901.09825183769
36,74.91,14.55,176.2,0,900.513096710946
33,28.64,17.58,159.83,1,901.794023531181
34,57.83,15.27,163.23,0,899.274567625882
34,2.7,20.12,141.68,0,898.521436967621
28,11.12,16.92,204.14,0,897.875202899109
34,48.18,11.07,144.43,0,899.626081858816
39,28.74,21.16,162.52,1,901.43098217649
38,46.15,16.22,175.39,0,899.147784233537
38,70.32,16.89,128.95,0,899.521794600468
33,0.21,9.39,179.23,0,899.664385875844
34,97.44,12.75,166.12,0,899.736242834742
29,30.77,7.92,157,0,899.804862933981
35,94.32,13.64,169.29,0,901.0675144187
36,66.58,20.77,150.58,0,899.145684044844
44,79.89,11.71,114.82,0,902.145251528273
40,13.13,14.33,173.4,0,899.995225732375
33,49.48,17.92,150.9,0,899.38482264839
37,18.13,6.18,190.63,0,900.593672119418
29,4.22,7.2,142.85,0,899.782504175477
39,87.23,9.37,173.68,0,901.444700759554
40,23.24,15.5,171.26,0,900.621822888834
46,39.74,14.4,159.06,0,900.066153561233
37,41.47,20.2,137.09,0,899.80729441465
33,93.48,7.85,163.76,0,901.187988728313
35,68.8,11.81,133.38,0,900.804200267361
32,82.24,21.96,144.74,0,898.671020514329
31,52.37,19.41,145.49,0,899.513556152053
