"age","income","meanhourswatched","Film1","Film2","Film3","Film4","Film5","Film6","Film7","Film8","Film9","Film10"
56,85.97,103.47,"Embun","Bear Country","Unborn","Autorequiem","Looking Up","Memory of Justice, The","Taking Tiger Mountain","Drive-by Shooting","Shinobugawa","Classic Queen"
43,75.7,14,"Chanoc y el hijo del Santo contra los vampiros asesinos","Last Just Man, The","Winter","Na voyne, kak na voyne","Garriage: A Documentary in 4 Chapters and an Epilogue","2wks, 1yr","Dusk","Karl May","Dieses Jahr in Czernowitz","Secretul lui Bachus"
45,92.39,14.68,"Grauzone","Satyakam","Meet the Stars: Meet Roy Rogers","Brooms","Chasing Daylight","Outside","Reasonable Hypothesis, A","Man Who Invented the Moon","Shock Act","Sundown"
50,60.14,64.45,"Saturday Night at the Palace","Wedding Advice: Speak Now or Forever Hold Your Peace","Zenith","Guarding Eddy","Missionary Positions","We Are the Champions","Examen","Meteo","Out-of-Body Experience","Island, The"
36,87.1,15.17,"Ponchada","Filmic Achievement","Story from Bhutan: The Making of 'Travellers & Magicians', A","Please Don't Touch Me","Pony","Silent Whispers","Fim de Festa","Mirt Sost Shi Amit","Boldog lovak","Nozze di Figaro, Le"
23,74.76,27.6,"Anyone","Moondram Pirai","Shyamchi Aai","Hand of Fate","Ren Sheng","Konyok-gorbunok","Curtis","Sofi","Shura","Embun"
57,99.55,23.18,"Mind Game","Herkus mantas","Bona","Three Sisters on Moon Lake","Pudeur ou l'impudeur, La","Izpit","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The","Libby, Montana","Amants de Teruel, Les","Na voyne, kak na voyne"
48,65.04,9.3,"Perfect Candidate, The","TankUp.US","Sommer der Liebe","V chetverg i bolshe nikogda","Cog","Kommunist","Na klancu","Devil Talk","Dance of the Weed","Silent Whispers"
23,45.09,6.32,"Sagara Sangamam","Soul to Soul","Berge in Flammen","Defilada","Rokoko","Man on the Moon, The","Piggy Bank","Orekhovyy khleb","Maison de jade, La","Clase z tropical"
55,87.76,21.72,"New World, The","Piata Universitatii - Romania","Paris Chausey","Life of Larry, The","Standing by Yourself","Veronika's Birthday","Incredible Manitoba Animation","Brothers... On Holy Ground","Affittasi appartamento","D.I.Y. or Die: How to Survive as an Independent Artist"
19,83.38,80.33,"Jojo in the Stars","Mutual Admiration Society","Allegro ma non troppo","Uttoran","Plight of Clownana, The","Today Was Thursday","Directing Rye","Staccato Purr of the Exhaust","Anantaram","Berlin Berlin"
18,61.18,17.6,"Cape of Good Hope","Konyok-gorbunok","Suspension of Disbelief","Ojos llenos de amor, Los","Tis kakomoiras","American Beer","Taking Tiger Mountain","Cicadas","Trollywood","Best Hotel on Skid Row"
43,70.56,46.29,"Sieg, Der","Doing Time, Doing Vipassana","Middle of the Moment","Xicu'l toperu","Bunker - Die letzten Tage","Distinto amanecer","Soldier, The","Skazki... skazki... skazki starogo Arbata","Akatsuki no dasso","Chibideka monogatari"
52,77.35,5.57,"Evidencia invisible","Fado majeur et mineur","Soy Cuba, O Mamute Siberiano","Chibideka monogatari","Enoken no chakiri kinta 'Zen' - Mamayo sandogasa - Ikiha yoiyoi","Enoken no chakiri kinta 'Zen' - Mamayo sandogasa - Ikiha yoiyoi","Rideaux blancs, Les","Mothers and Daughters","Normal Love","Don't Call Me Frankie"
64,61.52,5.62,"Here After","Tak for Alt: Survival of a Human Spirit","Mission: Space","Thisavros tou makariti, O","Oil on Ice","Sexual Ecstasy of the Macumba","Boy-Next-Door","Embun","Atrapados","Silent Whispers"
53,78.68,60.99,"Scomparsa","River, The","Art Pepper: Notes from a Jazz Survivor","Normal Love","Allegro ma non troppo","Ammazzali tutti e torna solo","Blood of the Beast","Oil Factor: Behind the War on Terror, The","Today Was Thursday","Emily's Last Date"
68,75.25,33.65,"Maison de jade, La","Info Wars","Sky of an Archangel","Grande Mentecapto, O","Ladendiebstahl","Lipservice","Chasing the Edge","V ogne broda net","Nozze di Figaro, Le","Kom tillbaka"
26,81.74,72.87,"90","Stay Clean","Pianeta azzurro, Il","Aapathbandavudu","We Are the Champions","Drifting","Gotejar da Luz, O","Original Schtick","Letters of Service","Staccato Purr of the Exhaust"
57,70.73,76.48,"Brooms","Old Ironsides","Info Wars","Glissando","Derniers feux","Sandcastles","Tie Xi Qu: West of the Tracks - Part 2: Remnants","Standing by Yourself","Slyozy kapali","Rider Pride"
36,52.53,41.69,"Time with Nyenne","Aufbruch, Der","Silent Call, The","Victim, The","Drive-by Shooting","Totoong buhay ni Pacita M., Ang","Baxter, The","What Is Funny?","Letzte Rache, Die","BattleGround: 21 Days on the Empire's Edge"
48,61.78,22.64,"Bari Theke Paliye","Nemuri Kyoshiro 3: Engetsugiri","Pulso, O","Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Best Hotel on Skid Row","Saturday Night at the Palace","Simulacrum","Keeper of the Past","Life of Larry, The","Na voyne, kak na voyne"
19,81.1,17.31,"Oro, Plata, Mata","Edsville","Carlos Castaneda: Enigma of a Sorcerer","Message From Moonbase Alpha","Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Wow and Flutter","Marathon","Adaptatziya","American Yearbook","Twelve Months"
62,64.17,65.89,"Please Don't Touch Me","In Their Absence","Bashta mi boyadzhiyata","Dalu","Bashta mi boyadzhiyata","Half Sister","Rideaux blancs, Les","Hummingbird","Shock Act","Bari Theke Paliye"
40,35.95,22.4,"Summer Sonata, A","Obyknovennoye chudo","Odin shans iz tysyatsi","Dolor de pagar la renta, El","Bleach","Sonho de Rose - 10 Anos Depois, O","Up Uranus!","Berlin Berlin","Kradetzat na praskovi","Death by Design: Where Parallel Worlds Meet"
70,50.25,36.25,"Cachorros","America's Sweetheart: The Mary Pickford Story","Fratii Jderi","Kom tillbaka","Ringgit Kasorrga","Out-of-Body Experience","Verdugo, El","Iarna bobocilor","Night of a Thousand Screams","Among Thieves"
31,66.9,1.21,"Herkus mantas","Swingin' in the Painter's Room","Totul pentru fotbal","P.E.","Relasyon","Drifting","Beer Muscles","Aufbruch, Der","Dead Skunk","Focus"
51,72.46,8.07,"Old Ironsides","Empty Building, The","Mond im Skorpion","Grass Arena, The","Unconquered, The","Sembilu II","Spaceman","Rideaux blancs, Les","Relasyon","Point Five"
47,68.26,32.34,"There's Something About a Soldier","Sonho de Rose - 10 Anos Depois, O","Born In Freedom: The Story of Colonel Drake","New World, The","Thunder in Guyana","Juntos, in any way","Fim de Festa","America's Sweetheart: The Mary Pickford Story","Sembilu II","Dance of the Weed"
48,66.42,10.48,"Unconquered, The","Tak for Alt: Survival of a Human Spirit","Night of a Thousand Screams","Murder of Fred Hampton, The","Fascinating Nature","Michel J","Murs du silence, Les","Outside","D.I.Y. or Die: How to Survive as an Independent Artist","Peaceable Kingdom"
45,70.73,44.74,"Adaptatziya","Memory of Justice, The","Ciprian Porumbescu","Fantasmas burlones, Los","Legenda o Tile","Baddegama","Reasonable Hypothesis, A","Up Uranus!","Thunder in Guyana","Hopscotch"
42,48.27,3.71,"Mona Lisa Descending a Staircase","Meteo","Titanic vals","Pee Shy","Blue Bird, The","Starting Up","Moonlight in Vermont","Kiga kaikyo","Macabre Pair of Shorts","Familia de tantas, Una"
38,60.57,29.63,"In girum imus nocte et consumimur igni","Point Five","Ennio Morricone: la musica negli occhi","Last Stand","Khamoshi","Dark Agent and the Passing of the Torch Chapter 7, The","Sailor in the Wild","Tie Xi Qu: West of the Tracks - Part 2: Remnants","PX","It's a Bird"
42,65.37,6.05,"Taste the Sweat!","Ingmar Bergmanin maailma","River, The","Shoe Store, The","Moonlight in Vermont","Nemuri Kyoshiro 3: Engetsugiri","Tie Xi Qu: West of the Tracks - Part 3: Rails","Otra, La","Aien kyo","Few Moments with Eddie Cantor, A"
27,70.97,128.6,"Halmat na borovinkite","Iarna bobocilor","Super Bitchin' Muscle Car","Overtime","Marg Yazdgerd","Spandex: A Father's Tale","Fado majeur et mineur","Grass Arena, The","Spaceman","That Lady From Peking"
59,78.96,21.23,"Bleach","Little Failures","Tis kakomoiras","Totoong buhay ni Pacita M., Ang","Rain, Drizzle, and Fog","Devadasu","Joyce Story, A","Perils in Nude Modeling","Western","Evidencia invisible"
49,78.15,64.96,"Milton Is a Shitbag","Khamoshi","Burying Dvorak","Big Question, The","Molly's Pilgrim","Shopping Part, The","Thanks for Nothing","Satellite","Viaje sin destino","Private Road"
59,79.25,7.79,"Please Don't Touch Me","Tabiate bijan","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The","Chasing the Edge","Viena","Nackte Mann auf dem Sportplatz, Der","Trollywood","Cleopatra","Mighty Times: The Legacy of Rosa Parks","Ceniciento, El"
31,44.09,32.77,"Blake's Junction 7","Devils Are Dreaming","Kehrwoche","Daniel's Spark","Piggy Bank","Mauvaise conduite","How to Be a Model (A 12 Step Plan)","Apartment 206","Oscura noche","Vers l'Inde"
25,62.11,3.48,"Final Solution","Jagadeka Veeruni Katha","Tea with Tiffany","Morphin(e)","Gardiens de phare","Selubung","Uramisten","Wild Girls Gone","American Yearbook","Tosca"
32,96.6,36.42,"Suspension of Disbelief","Obedience","Glissando","Yvonne Netter, avocate","One of Us","It's a Bird","Night of a Thousand Screams","Catene","I Wish My Beer Was as Cold as Your Heart","That Thing We Do"
19,66.17,7.35,"Wild Girls Gone","Thanatos","Chernov/Chernov","Guarding Eddy","Pudeur ou l'impudeur, La","Aufbruch, Der","Middle of the Moment","Selubung","Swingin' in the Painter's Room","Standing by Yourself"
46,56.16,36.31,"Pyramide humaine, La","Kitchen Soup for the Soul","Mukta","Testament of Tom Jacoby, The","Juggler of Our Lady, The","Few Moments with Eddie Cantor, A","Sylvia, rimembri ancora?","Mala","America's Sweetheart: The Mary Pickford Story","Andalousie"
30,80.88,41.54,"Halfway Point","Night of the Dog","Trishagni","Evil Surprise, The","Codename: Simon","Hopscotch","That Lady From Peking","Masochist","Perfect Location, The","Valkoiset ruusut"
38,86.97,12.35,"Cut and Run","Young Gentlemen","Monique, Lip I","Robin's Nest","You Are Not I","Bona","America 101","Blood of the Beast","Pictures from a Revolution","Land of Look Behind"
20,65.03,30.64,"Last Stand","Marienthal: State of Emergency","Offering, The","Fishing for Love","Burying Dvorak","Ninjo kami fusen","It's a Bird","Ukamau","Original Schtick","Kom tillbaka"
26,87.97,2.75,"Ojos llenos de amor, Los","Car Trouble","Noam Chomsky: Personal Influences","Manipulation","Sigmund the See Monster","Space Available","Peefeeyatko","Meteo","Satsujin kyo jidai","Army of One"
50,76.14,70.22,"As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty","Home for the Bullets, A","Halfway Point","Shawshank Redemption, The","Change Up","Laatste Joegoslavische elftal, Het","Ingmar Bergmanin maailma","Soliloquy","Reasonable Hypothesis, A","Damned If You Don't"
63,72.76,14.98,"Drugiyat nash vazmozhen zhivot","Meteo","Diary of a Bad Lad","Starting Up","Allegro ma non troppo","Descent","Robin's Nest","Dozen Kliks, A","Soul to Soul","Blind"
70,69.25,41.68,"Soul to Soul","Pleasure Pill","Milagro of Boyle Heights, The","American Yearbook","F*Stop","Self Defense... for Cowards","Mboutoukou","Keeper of the Past","In der Fremde","Wachsexperimente"
35,77.5,12.4,"Escuela de vagabundos","Defilada","Dani, Michi, Renato & Max","Otto ga mita 'Onna no kabako' yori","Hausu","Byalata staya","Slavoj Zizek: The Reality of the Virtual","Mind Game","Most Boring Woman in the World, The","Un festin d'amis"
48,80.95,23.66,"Tie Xi Qu: West of the Tracks - Part 3: Rails","Hippie Highway","Dohyosai","Remembering November","Latitude Zero","King of the Hill","Shao Lin san shi liu zhu","Maso et Miso vont en bateau","Murs du silence, Les","Berge in Flammen"
40,61.63,6.82,"Able's House Is Green, The","King of the Hill","Tsisperi mtebi anu arachveulebrivi ambavi","Dai chushingura","Three of Us, The","Descent","Art Pepper: Notes from a Jazz Survivor","Alone Across Australia","We Are the Champions","Blood of the Beast"
55,93.2,2.54,"Theory of Revenge","Ennio Morricone: la musica negli occhi","Dosti","Trafico, El","Letzte Rache, Die","Grande Mentecapto, O","TransAmazon: A Gender Queer Journey","Message From Moonbase Alpha","Today Was Thursday","Tie Xi Qu: West of the Tracks - Part 2: Remnants"
