"id","name","value","test"
"1","zero",64.27,0
"1","one",65.950883820773,1
"1","two",69.8655126334176,2
"1","three",70.0718438371173,3
"1","four",71.5574561808766,4
"2","zero",65.42,0
"2","one",68.3346375305084,1
"2","two",71.7749537024699,2
"2","three",71.4885191317413,3
"2","four",72.4141973368302,4
"3","zero",71.58,0
"3","one",75.0027405794946,1
"3","two",77.1690562641402,2
"3","three",80.0385479461309,3
"3","four",80.3079895857648,4
"4","zero",51.71,0
"4","one",52.6108987790356,1
"4","two",53.0054816754784,2
"4","three",51.8001350450784,3
"4","four",53.8290344480824,4
"5","zero",73.18,0
"5","one",74.5752874513094,1
"5","two",76.5075471013907,2
"5","three",76.1024146870391,3
"5","four",75.4414238944284,4
"6","zero",51.64,0
"6","one",52.4124347085285,1
"6","two",54.4139203302043,2
"6","three",54.6660540637215,3
"6","four",54.7480844809045,4
"7","zero",71.25,0
"7","one",71.1596148549378,1
"7","two",70.6704559695301,2
"7","three",72.7876348711965,3
"7","four",72.4160357107441,4
"8","zero",51.1,0
"8","one",52.1658973069862,1
"8","two",53.3387316150504,2
"8","three",53.0576947061575,3
"8","four",54.984421040549,4
"9","zero",64.09,0
"9","one",66.3859839431941,1
"9","two",66.4829079791034,2
"9","three",67.1292388272242,3
"9","four",67.3817031560109,4
"10","zero",82.67,0
"10","one",84.2715033897956,1
"10","two",87.2614182070947,2
"10","three",85.0585302439155,3
"10","four",85.0292789984226,4
"11","zero",47.28,0
"11","one",53.1957140623056,1
"11","two",53.4355719847257,2
"11","three",54.8227715593585,3
"11","four",51.4900472275892,4
"12","zero",68.56,0
"12","one",74.2892385059938,1
"12","two",72.520667664467,2
"12","three",74.550849009682,3
"12","four",71.3771644224552,4
"13","zero",41.34,0
"13","one",45.9000745684888,1
"13","two",46.0457778669653,2
"13","three",47.5622648453612,3
"13","four",44.3748267152692,4
"14","zero",57.17,0
"14","one",61.9086291767504,1
"14","two",62.3549215999504,2
"14","three",63.4527879697605,3
"14","four",61.609110160028,4
"15","zero",65.18,0
"15","one",67.5813550723552,1
"15","two",68.1730188168565,2
"15","three",69.1003367044368,3
"15","four",65.1621425724846,4
"16","zero",69.02,0
"16","one",72.775440338923,1
"16","two",73.7815363085378,2
"16","three",74.7677797714013,3
"16","four",72.2918320996225,4
"17","zero",45.07,0
"17","one",49.0358797843883,1
"17","two",49.8721794479432,2
"17","three",48.149360424507,3
"17","four",45.0212737259431,4
"18","zero",47.79,0
"18","one",53.2035722718986,1
"18","two",53.6592999332721,2
"18","three",55.0712133105275,3
"18","four",50.244901132284,4
"19","zero",49.21,0
"19","one",53.1272066882456,1
"19","two",53.6888243867858,2
"19","three",55.9204490661047,3
"19","four",53.4531148499512,4
"20","zero",62.04,0
"20","one",68.0495557647207,1
"20","two",69.5345650603866,2
"20","three",72.1248714866828,3
"20","four",69.1653115409954,4
"21","zero",84.38,0
"21","one",81.2671918400643,1
"21","two",80.1788270797067,2
"21","three",77.6685947842084,3
"21","four",76.6847355542888,4
"22","zero",88.58,0
"22","one",88.1907960041495,1
"22","two",87.2719363635571,2
"22","three",86.6088210120256,3
"22","four",84.8810929990819,4
"23","zero",88.79,0
"23","one",88.5007506136657,1
"23","two",88.8888958621007,2
"23","three",85.9983915960271,3
"23","four",84.9981123680489,4
"24","zero",82.65,0
"24","one",81.8626177720957,1
"24","two",80.8392071503945,2
"24","three",77.2858169840173,3
"24","four",76.8887198325971,4
"25","zero",87.03,0
"25","one",87.5224049840491,1
"25","two",87.509997673563,2
"25","three",86.8812971625129,3
"25","four",84.8517669519569,4
"26","zero",83.05,0
"26","one",82.4596265632572,1
"26","two",81.314930210437,2
"26","three",78.7060709256308,3
"26","four",76.3086859975166,4
"27","zero",89.06,0
"27","one",87.5144343736291,1
"27","two",85.9109828136014,2
"27","three",83.9658576569764,3
"27","four",81.8700443483285,4
"28","zero",80.67,0
"28","one",80.0998305619784,1
"28","two",78.9100349014055,2
"28","three",75.7894761116833,3
"28","four",72.9593469114459,4
"29","zero",86.04,0
"29","one",84.1291575277097,1
"29","two",84.001786286254,2
"29","three",83.4219101321133,3
"29","four",82.0358125179554,4
"30","zero",81.56,0
"30","one",79.5405888406339,1
"30","two",77.3382148275808,2
"30","three",76.4522417993077,3
"30","four",74.5117085917376,4
