parcelid,logerror,transactiondate
11016594,0.0276,2016-01-01
14366692,-0.1684,2016-01-01
12098116,-0.004,2016-01-01
12643413,0.0218,2016-01-02
14432541,-0.005,2016-01-02
11509835,-0.2705,2016-01-02
12286022,0.044,2016-01-02
17177301,0.1638,2016-01-02
14739064,-0.003,2016-01-02
14677559,0.0843,2016-01-03
10854446,0.3825,2016-01-03
11672170,-0.0161,2016-01-03
10949761,0.0344,2016-01-03
14665244,0.0816,2016-01-03
14148540,-0.045,2016-01-03
14057104,0.002,2016-01-03
17296797,0.044,2016-01-03
12524288,-0.0419,2016-01-03
14091502,-0.002,2016-01-03
10815909,0.01,2016-01-03
12453853,-0.0387,2016-01-03
14253461,0.0218,2016-01-03
14001034,0.0149,2016-01-03
11458863,0.1151,2016-01-03
13957980,-0.1696,2016-01-03
12752047,-0.044,2016-01-03
11188425,-0.0747,2016-01-03
14646051,0.008,2016-01-03
10805063,0.001,2016-01-03
12524725,-0.0534,2016-01-03
11104966,-0.0398,2016-01-03
11624877,-0.0294,2016-01-03
12440314,0.0208,2016-01-03
12037577,-0.0233,2016-01-03
11024002,0.0266,2016-01-03
10777209,-0.0222,2016-01-03
14022628,-0.0274,2016-01-03
14195954,-0.001,2016-01-03
12339438,0.0526,2016-01-03
14022972,-0.0481,2016-01-03
11921507,0.0411,2016-01-03
14055759,0.0237,2016-01-03
14337898,-0.006,2016-01-03
10984360,0.0411,2016-01-03
11708989,-0.091,2016-01-03
14008449,0.045,2016-01-03
10812783,0.0402,2016-01-03
14389517,0.045,2016-01-03
11874881,-0.0367,2016-01-03
12859348,-0.0408,2016-01-03
12885665,0.0159,2016-01-03
12934834,0.006,2016-01-03
14077187,-0.0171,2016-01-03
14693306,0.0344,2016-01-03
13892813,0.0639,2016-01-03
11510907,0.0639,2016-01-03
11519155,0.0573,2016-01-03
14365990,0.0276,2016-01-03
11403600,-0.1497,2016-01-03
12086710,0.076,2016-01-04
14030226,-0.0481,2016-01-04
12701128,0.2119,2016-01-04
14632504,0.0109,2016-01-04
12932190,-0.001,2016-01-04
14696295,0.0,2016-01-04
11940440,-0.0576,2016-01-04
14674493,-0.0356,2016-01-04
17249897,0.0227,2016-01-04
10908638,0.001,2016-01-04
10953535,-0.006,2016-01-04
14246533,-0.0253,2016-01-04
11267869,-0.0523,2016-01-04
10746700,0.1467,2016-01-04
12921680,0.0109,2016-01-04
17282027,0.0296,2016-01-04
14731078,-0.0387,2016-01-04
13964033,0.004,2016-01-04
